"start_text","end","text","start_sub","stop","speaker"
21000,29000,"Here for you on your TV, they are the movements, they are the movements.",12900,21500,"SPEAKER_04"
29000,36000,"So come with me, give me your hand, I'll take you up to a movement land.",26800,28500,"SPEAKER_04"
36000,46000,"You can fly just like a bird, sing that song ever, there were the movements, there were the movements,",29800,42700,"SPEAKER_04"
46000,59000,"there was the movements, there was the movements, there was the movements, there was the movements,",44200,46400,"SPEAKER_05"
59000,80720,"When the Hennian first told Mumen about the golden fish, Mumen thought to himself that",55700,57300,"SPEAKER_05"
80720,82720,"But it must look something like this.",75700,82700,"SPEAKER_01"
89720,93720,"My grandpa told me that his mother had actually seen it.",88400,88900,"SPEAKER_07"
93720,95720,"So you never saw it yourself, Mr. Hemion?",90100,93800,"SPEAKER_07"
95720,97720,"No, I'm a batonist.",94000,96200,"SPEAKER_10"
97720,101720,"It comes to the surface only under very special conditions.",96200,97600,"SPEAKER_07"
101720,103720,"It's very rarely seen.",98300,101400,"SPEAKER_07"
103720,104720,"Conditions?",102100,103500,"SPEAKER_07"
104720,105720,"Yes.",104000,108900,"SPEAKER_07"
105720,108720,"First of all, it must be right between summer and autumn.",104000,108900,"SPEAKER_07"
109720,110720,"But that's now.",104000,108900,"SPEAKER_07"
110720,111720,"Yes.",109800,114800,"SPEAKER_07"
111720,114720,"It has to be in the afternoon sunshine after heavy rain.",109800,114800,"SPEAKER_07"
114720,116720,"Yes, that does narrow it down.",114700,116700,"SPEAKER_10"
116720,118720,"And there must be no wind.",114700,116700,"SPEAKER_10"
118720,120720,"Grandpa said not even a ripple on the water.",116900,118200,"SPEAKER_07"
120720,122720,"Oh dear.",118800,121200,"SPEAKER_07"
122720,127720,"And there are some other conditions that he really didn't know about anyway to see it.",121200,122100,"SPEAKER_10"
127720,129720,"You must be extremely lucky.",122900,129100,"SPEAKER_07"
131720,132720,"Hmm.",129100,129100,"SPEAKER_00"
132720,134720,"Just getting to the lake itself isn't too easy.",131800,137000,"SPEAKER_00"
134720,136720,"It's way beyond lonely mountains.",131800,137000,"SPEAKER_00"
139720,143720,"Going over lonely mountains and back would take at least two days.",131800,137000,"SPEAKER_00"
143720,146720,"Not really, because I know a shortcut movement.",140100,144200,"SPEAKER_10"
146720,148720,"I could take you there and back in one day.",144200,149100,"SPEAKER_02"
148720,150720,"Oh, could you do that?",144200,149100,"SPEAKER_02"
150720,151720,"Yes.",149200,153800,"SPEAKER_10"
151720,153720,"Have you already been there, Snuffkin?",149200,153800,"SPEAKER_10"
153720,155720,"Just once.",149200,153800,"SPEAKER_10"
155720,157720,"Oh, will you show me the way?",154600,155300,"SPEAKER_02"
157720,158720,"You really want to go?",155800,157300,"SPEAKER_10"
158720,159720,"Yes.",157900,159000,"SPEAKER_02"
159720,163720,"I must see that golden fish with my own eyes and maybe capture it.",159200,163500,"SPEAKER_10"
163720,165720,"It won't be easy to capture.",159200,163500,"SPEAKER_10"
165720,167720,"Why not?",164500,166000,"SPEAKER_02"
167720,170720,"From what I've heard, the golden fish is far too clever to get caught.",166600,167300,"SPEAKER_10"
170720,173720,"I know, but it would be so much fun.",168000,171300,"SPEAKER_02"
173720,174720,"You going alone?",171500,173900,"SPEAKER_10"
174720,177720,"Well, Snorkmaiden said she wanted to come along.",174100,175100,"SPEAKER_02"
177720,179720,"She gets these ideas, you know.",175100,179700,"SPEAKER_10"
179720,180720,"Just Snorkmaiden?",179700,180700,"SPEAKER_02"
180720,181720,"Uh, maybe a little my.",180700,182200,"SPEAKER_10"
181720,183720,"What about Sniff?",180700,182200,"SPEAKER_10"
183720,185720,"I think he wants to come along, too.",182200,183100,"SPEAKER_02"
185720,187720,"What about you?",183900,186100,"SPEAKER_10"
187720,190720,"In that case, we'd better go across the mountains.",186100,186800,"SPEAKER_02"
190720,192720,"Why is that? Why can't we take the shortcut?",188500,190700,"SPEAKER_02"
192720,195720,"The path is rather steep and dangerous, you know, Moomin.",191000,193200,"SPEAKER_10"
196720,198720,"Especially in the forest of witches.",193600,196100,"SPEAKER_02"
198720,199720,"Hide the witches?",197100,198900,"SPEAKER_02"
199720,200720,"Not now, maybe.",199200,201000,"SPEAKER_10"
200720,202720,"Oh, so it's safe then.",199200,201000,"SPEAKER_10"
202720,206720,"But it's a very deep forest dark and scary even in daytime.",201300,202600,"SPEAKER_10"
209720,211720,"That's okay, we'll take the shortcut.",203100,206800,"SPEAKER_02"
211720,212720,"Hmm.",209800,211600,"SPEAKER_10"
225720,227720,"Oh, dear.",212000,212300,"SPEAKER_03"
227720,229720,"Come on.",212000,212300,"SPEAKER_03"
251720,253720,"Good morning, Snuffkin.",251700,253400,"SPEAKER_09"
256720,257720,"Oh.",256300,256400,"SPEAKER_09"
266720,268720,"Sorry, Snuffkin, guess I overslept.",266500,268700,"SPEAKER_10"
268720,271720,"Snorkmaiden a little my, aren't here yet.",268700,268700,"SPEAKER_09"
271720,273720,"You're very early.",269000,271000,"SPEAKER_02"
273720,275720,"Hmm, I dreamt I caught the golden fish,",272000,272000,"SPEAKER_10"
273720,275720,"Hmm, I dreamt I caught the golden fish,",272000,277900,"SPEAKER_09"
275720,277720,"and then, of course, I couldn't go back to sleep.",272000,272000,"SPEAKER_10"
275720,277720,"and then, of course, I couldn't go back to sleep.",272000,277900,"SPEAKER_09"
277720,279720,"Well, let's go.",272000,272000,"SPEAKER_10"
277720,279720,"Well, let's go.",272000,277900,"SPEAKER_09"
279720,281720,"Shouldn't we wait for Snorkmaiden a little my?",279500,283000,"SPEAKER_09"
281720,284720,"Oh, they're not really great walkers, are they?",279500,283000,"SPEAKER_09"
284720,288720,"And anyway, didn't we decide that we wouldn't wait for anybody?",283000,290400,"SPEAKER_10"
288720,290720,"So it might be better this way.",283000,290400,"SPEAKER_10"
290720,292720,"What's better this way, Moomin?",290400,291800,"SPEAKER_08"
292720,294720,"Oh, little my.",292400,293500,"SPEAKER_10"
294720,296720,"Why don't you stay here?",292400,293500,"SPEAKER_10"
296720,298720,"This will be a very tough expedition.",295700,3e+05,"SPEAKER_08"
298720,300720,"I'm tougher than you.",295700,3e+05,"SPEAKER_08"
300720,302720,"Wait for me.",300500,301900,"SPEAKER_08"
