"start_text","end","text","start_sub","stop","speaker"
20560,30440,"me there for you on your TV they are the moments they are the moments so come",12800,25600,"SPEAKER_10"
30440,37240,"with me give me your hand I'll take you up to a moment land you can fly just",29700,42600,"SPEAKER_10"
37240,44640,"like a bird sing that song ever there were the moments there were the",29700,42600,"SPEAKER_10"
44640,59360,"moments there were the moments there were the moments",44100,46200,"SPEAKER_10"
65840,71360,"snort maiden was in a very good mood because that day she was off to collect",55600,58000,"SPEAKER_09"
71360,74920,"shells of the seizure with me",69300,73400,"SPEAKER_11"
83320,89120,"hey look the sun's up and there's Gracie",69300,73400,"SPEAKER_11"
92120,100480,"oh rat what's the matter papa oh it's your moment what are you doing I heard you",85000,87600,"SPEAKER_01"
100480,109520,"talking to yourself just now oh you see this I'm writing a play writing a",98800,102000,"SPEAKER_07"
109520,114280,"play you remember the last children that was a very successful play just now I",106800,119400,"SPEAKER_01"
114280,120280,"was repeating a line hey look another beautiful day and there goes Gracie it's a",106800,119400,"SPEAKER_01"
120280,128640,"wonderful line of course don't you agree it could be improved I think about it",119900,122100,"SPEAKER_01"
131240,133720,"haha",129100,132900,"SPEAKER_15"
141640,145520,"look at this beautiful",141000,141000,"SPEAKER_16"
141640,145520,"look at this beautiful",141000,142000,"SPEAKER_15"
147320,152400,"you know just usual like stuff",144800,144800,"SPEAKER_16"
152400,162400,"Oh! There's another big one! Can't you really find anything, moment?",147600,150600,"SPEAKER_07"
162400,169400,"I'll look somewhere else. I still think this is the best place!",159800,161400,"SPEAKER_06"
169400,172400,"Well, I'm going over there!",167300,171400,"SPEAKER_07"
172400,176400,"They're so beautiful!",171900,172900,"SPEAKER_15"
176400,180400,"Oh!",173000,174400,"SPEAKER_07"
181400,183400,"What are you doing, moment?",181400,190800,"SPEAKER_07"
183400,185400,"No, that's no shell surely.",181400,190800,"SPEAKER_07"
185400,187400,"No. So why did you dig it out?",181400,190800,"SPEAKER_07"
187400,192400,"Well, once you see it, you want to find out what it is.",181400,190800,"SPEAKER_07"
192400,194400,"A very odd thing, isn't it?",181400,190800,"SPEAKER_07"
194400,197400,"Not very interesting.",192800,194300,"SPEAKER_07"
201400,203400,"Oh no, I can see what it is.",194600,196200,"SPEAKER_06"
203400,205400,"I gave it a good wash.",201800,213300,"SPEAKER_07"
205400,208400,"I've seen one just like it in the fairy tales. It's an old clam.",201800,213300,"SPEAKER_07"
208400,213400,"Yes, you remember the story called Aladdin? He rubbed the lamp and the genie appeared.",201800,213300,"SPEAKER_07"
213400,217400,"The genie might appear for us if we do what Aladdin did.",201800,213300,"SPEAKER_07"
217400,220400,"Don't be silly, Snork Maiden.",214100,217100,"SPEAKER_07"
223400,227400,"But Snork Maiden, that was a fairy tale.",218000,219800,"SPEAKER_07"
227400,230400,"Don't laugh! I just want to make absolutely sure.",224300,227400,"SPEAKER_07"
230400,236400,"To tell you the truth, I've already tried it. My hands turned green. That's all that happened to me.",227800,236000,"SPEAKER_07"
236400,241400,"Maybe you didn't do it the right way. You can't even whip cream properly.",227800,236000,"SPEAKER_07"
241400,250400,"And I'm sure you have to say some magic words, such as apricot dapura, spirit, come forth, apricot dapura, try for all your words.",239000,240300,"SPEAKER_06"
250400,256400,"You've chosen the wrong words. You should say, come out, say some of your something.",246000,249900,"SPEAKER_07"
256400,261400,"Oh my goodness! Oh my goodness! Keep going, Snork Maiden!",250600,259000,"SPEAKER_07"
267400,269400,"Oh!",259000,261600,"SPEAKER_04"
273400,277400,"I am the spirit of the lamp. What is your command?",273400,275300,"SPEAKER_11"
280400,283400,"Goodness, did you come out of this lamp?",275400,276600,"SPEAKER_11"
283400,284400,"You got it.",283300,284000,"SPEAKER_11"
284400,287400,"So you really are the spirit of this lamp?",284300,286600,"SPEAKER_07"
287400,288400,"Always have been.",287400,287900,"SPEAKER_11"
288400,291400,"But I have the book and you're not him.",287900,291100,"SPEAKER_07"
291400,295400,"I can prove it if you're quite sure you want me to.",287900,291100,"SPEAKER_07"
295400,298400,"By all means, it probably wasn't a good picture.",295300,297900,"SPEAKER_07"
298400,301400,"I'm the one and only spirit of the lamp.",297900,300200,"SPEAKER_11"
301400,306400,"Oh, then you must have the power to make any wish come true, is that so?",301100,301700,"SPEAKER_07"
306400,308400,"Are we certainly but not yours?",306400,308600,"SPEAKER_11"
308400,310400,"But I'm the one who'll dug you out.",306400,308600,"SPEAKER_11"
310400,315400,"That's not so important, kid. She's the one who summoned me forth from the lamp.",310200,314700,"SPEAKER_11"
315400,317400,"What are we going to do about this spirit?",310200,314700,"SPEAKER_11"
317400,321400,"Why? Ask for something. Ask for something you've always wanted.",315500,317400,"SPEAKER_07"
322400,324400,"Let's see. A pearl necklace.",322400,324700,"SPEAKER_07"
324400,327400,"Sorry, may your wishes, my command.",322400,324700,"SPEAKER_07"
328400,330400,"Hey, wait a minute.",325000,327000,"SPEAKER_11"
330400,335400,"Oh, a pearl necklace is only one of the things I wanted I hadn't decided yet.",328500,328500,"SPEAKER_07"
330400,335400,"Oh, a pearl necklace is only one of the things I wanted I hadn't decided yet.",328500,329700,"SPEAKER_06"
335400,339400,"Don't worry, Snork Maiden. I guess you can always send it back.",330500,335700,"SPEAKER_06"
339400,342400,"If I like the necklace, then it's your turn to rub the lamp.",339100,345400,"SPEAKER_07"
342400,344400,"Then you can wish for whatever you've always wanted.",339100,345400,"SPEAKER_07"
