"start_text","end","text","start_sub","stop","speaker"
20560,32800,"me here for you on your TV they are the moments they are the moments so come with me give me your hand",12800,21300,"SPEAKER_08"
32800,41360,"I'll take you up to a moment land you can fly just like a bird sing the best song ever there",29700,42600,"SPEAKER_08"
41360,56800,"were the moments there were the moments there were the moments",29700,42600,"SPEAKER_08"
72240,87400,"these days moman and snuffkin were together even more than ever winter would",59200,59400,"SPEAKER_06"
87400,94280,"hit moman valley any day now and then they would have to park moman to go into",86700,91300,"SPEAKER_00"
94280,105720,"the hibernation and snuffkin to be for his trip so you look sad for something upset you",93100,95000,"SPEAKER_00"
105720,110640,"where are you off to moman to the lonely mountains how come you two are always",104000,111900,"SPEAKER_04"
110640,115840,"stealing off somewhere we're not stealing off we're just going for a walk to",104000,111900,"SPEAKER_04"
115840,120320,"lonely mountains just the two of you you're even worse than usual never taking any",113100,121400,"SPEAKER_04"
120320,127040,"of us with you I hadn't noticed are we really doing that I'm not sure maybe we are no",113100,121400,"SPEAKER_04"
127040,133280,"maybe's about it let me tell you it's very rude but we were just off for a walk I know well",126800,133000,"SPEAKER_04"
133280,138160,"then why are you going it'll start snowing any day now little night and then we won't be able",133000,144800,"SPEAKER_03"
138160,143440,"to go anywhere will we we wanted a last look at moman valley from above before that happens a",133000,144800,"SPEAKER_03"
143440,149120,"likely story but it's true I'm off very soon and I wanted to see it all to give me a picture to",133000,144800,"SPEAKER_03"
149120,154240,"remember while I'm walking did you hear that snorke main sniff come here",144900,151300,"SPEAKER_09"
158480,163520,"when do you mind if we come along with you of course not you see we thought you were",156800,159100,"SPEAKER_04"
163520,168640,"probably plotting something secret and weren't letting any of us in on it oh come on we don't",160000,167400,"SPEAKER_05"
168640,173440,"have any secrets from you it's just that well you know what I mean snuffkin will be leaving for",167500,168900,"SPEAKER_03"
173440,176720,"months months very soon never mind off we go",169000,175000,"SPEAKER_03"
185680,191360,"it would be fun to see it all from here in the middle of winter all white must be very beautiful",175100,177200,"SPEAKER_05"
191360,196480,"oh I don't think so with everything white and clean in summer it's very beautiful",189600,194000,"SPEAKER_03"
