"start_text","end","text","start_sub","stop","speaker"
21000,29000,"Here for you are your TV, they are the movements, they are the movements.",12800,21200,"SPEAKER_07"
29000,35000,"So come with me, give me your hand, I'll take you up to a moment land.",26700,28300,"SPEAKER_07"
35000,46000,"You can fly just like a bird, sing the best song ever, there were the movements, there were the movements,",29600,42600,"SPEAKER_07"
46000,62000,"there were the movements, there were the movements, there were the movements, there were the movements.",45000,46100,"SPEAKER_05"
62000,70000,"The snow was getting thicker on the ground and it was high time for the movements to start hibernating.",58900,59700,"SPEAKER_03"
76000,98000,"What are you doing now man, Alicia? What are you doing with these pine needles? That's what we always eat before we hibernate nobody knows why.",65600,69000,"SPEAKER_04"
98000,104000,"So you're going to start hibernating? Yes tonight. Oh that's soon? Yes.",92000,100400,"SPEAKER_11"
104000,110000,"I'm so glad I've come to see you today instead of leaving until tomorrow then.",102200,108000,"SPEAKER_09"
110000,118000,"I must say you came on just the right day, Alicia. We usually have a small party the night we start hibernating and you've arrived just in time.",102200,108000,"SPEAKER_09"
118000,121000,"Oh you mean I can stay for that woman, Mama?",113500,118300,"SPEAKER_08"
121000,127000,"And by the way Alicia is a matter of interest, is the witch, sorry your grandmother I mean, know that you're here?",120900,120900,"SPEAKER_09"
127000,131000,"No I'm afraid I didn't tell her, better for grownups not to know too much.",121500,127600,"SPEAKER_01"
131000,133000,"Oh do you say you're right?",129700,131700,"SPEAKER_09"
133000,137000,"I'm afraid she's not very happy for me to come here to move in valley.",131700,133000,"SPEAKER_01"
137000,139000,"Why ever not my dear?",133200,138000,"SPEAKER_09"
139000,144000,"I guess she's afraid that if I start coming here to play I shall lose interest in studying hard at my witchcraft.",138500,145800,"SPEAKER_09"
144000,148000,"Oh but you've got a very long time to go before you're a witch?",138500,145800,"SPEAKER_09"
148000,152000,"It takes anything between five to seven years nowadays.",148000,154500,"SPEAKER_09"
152000,155000,"Are you really sure that's what you want to be Alicia?",148000,154500,"SPEAKER_09"
155000,158000,"Study something out. But I want to be a witch.",155000,156000,"SPEAKER_09"
158000,161000,"Perhaps you don't know but witches aren't terribly popular.",156000,160000,"SPEAKER_11"
161000,166000,"Yes I do but I won't be like that, I'll be popular.",160000,164200,"SPEAKER_09"
166000,172000,"Hey, stop here.",160000,164200,"SPEAKER_09"
172000,174000,"You're off to the moments?",171400,171500,"SPEAKER_10"
174000,176000,"Yes.",173800,174200,"SPEAKER_00"
176000,181000,"I thought you'd gone south already, last winter you'd gone before the snow started.",174200,174300,"SPEAKER_10"
181000,183000,"Not this year I promised Moomin.",176700,181000,"SPEAKER_10"
183000,184000,"Promise?",181300,183100,"SPEAKER_00"
184000,188000,"I promised not to leave Moomin Valley until he went into hibernation.",184000,187200,"SPEAKER_00"
192000,195000,"Everybody seems to be here and somebody knew.",184000,187200,"SPEAKER_00"
195000,196000,"Who's that?",192300,196500,"SPEAKER_10"
196000,198000,"Have a guess.",192300,196500,"SPEAKER_10"
198000,201000,"Very well then, it's Alicia that's my guess.",197400,198100,"SPEAKER_10"
201000,203000,"How did you know?",198500,201800,"SPEAKER_10"
203000,205000,"What? I'm right?",202000,213000,"SPEAKER_10"
205000,208000,"Yes you are but I think you peaked and saw her earlier on.",204500,204600,"SPEAKER_09"
208000,212000,"I did it. I just named somebody I thought couldn't be here.",204500,204600,"SPEAKER_09"
212000,213000,"Clever huh?",204500,204600,"SPEAKER_09"
213000,217000,"Well she just happened to stop by. She's with Papa who's showing her around the house.",213000,216800,"SPEAKER_11"
217000,219000,"Is the witch here too?",213000,216800,"SPEAKER_11"
219000,222000,"No she didn't tell the witch she was coming here.",217400,222600,"SPEAKER_11"
222000,225000,"Just as well thank goodness.",221900,223800,"SPEAKER_10"
227000,232000,"Ah it's you snuffkin. I finally came over. I told you I would.",221900,223800,"SPEAKER_10"
232000,233000,"Hi.",231800,232200,"SPEAKER_00"
233000,236000,"Remember our friend here? He's called Sniff.",233000,235500,"SPEAKER_00"
236000,238000,"Hi, how do you do Sniff?",236000,237000,"SPEAKER_09"
238000,243000,"Well you aren't going to use your magic to cast any spells and stuff are you?",237600,243100,"SPEAKER_10"
243000,245000,"No.",237600,243100,"SPEAKER_10"
250000,254000,"Actually they didn't eat just pine needles for dinner that evening.",243700,244400,"SPEAKER_03"
254000,258000,"They had lots of other nice things too. All cooked by Moomin Mama.",250300,257900,"SPEAKER_04"
258000,261000,"Snuffkin I'd like to say how story I am.",250300,257900,"SPEAKER_04"
261000,262000,"Why?",258700,265700,"SPEAKER_11"
262000,266000,"I persuaded you to stay on here instead of going south as you'd planned.",258700,265700,"SPEAKER_11"
266000,268000,"I'm leaving tomorrow.",266000,267100,"SPEAKER_00"
268000,270000,"But the snow is quite deep.",268000,269600,"SPEAKER_11"
270000,272000,"Don't worry I'm used to deep snow.",268000,269600,"SPEAKER_11"
272000,276000,"I'm just worried Alicia will find it hard to get home in this.",270300,275800,"SPEAKER_00"
276000,281000,"Well she could spell the night here but of course tomorrow will be asleep for the winter so...",270300,275800,"SPEAKER_00"
284000,286000,"Huh?",276100,280600,"SPEAKER_11"
286000,288000,"Hmm? Someones is a door.",285900,288100,"SPEAKER_01"
288000,290000,"I'll see who it is.",285900,288100,"SPEAKER_01"
291000,298000,"Oh hello. How are you?",288100,289300,"SPEAKER_11"
298000,304000,"Hello indeed my young man. My granddaughter is here isn't she?",296300,298900,"SPEAKER_09"
304000,307000,"Who is it then Moomin?",302000,303700,"SPEAKER_09"
307000,309000,"Oh my dear.",304700,306000,"SPEAKER_01"
309000,312000,"You must be Moomin Papa.",309000,310500,"SPEAKER_09"
315000,317000,"Now you listen to me Moomin Papa.",309000,310500,"SPEAKER_09"
317000,321000,"I don't want my granddaughter playing with your children under any circumstances.",315100,322600,"SPEAKER_09"
321000,323000,"Do I make myself quite clear?",315100,322600,"SPEAKER_09"
323000,325000,"But Alicia likes playing with us.",322800,326000,"SPEAKER_11"
325000,326000,"Grandma!",322800,326000,"SPEAKER_11"
326000,329000,"We're leaving. Can't I stand a little longer?",326000,326200,"SPEAKER_08"
329000,332000,"Hello you're most welcome to stay and have dinner with us.",328500,333200,"SPEAKER_08"
332000,336000,"Don't you know I'm a witch? I can't eat that sort of baby food.",328500,333200,"SPEAKER_08"
336000,338000,"Alicia quite likes the food.",335700,335700,"SPEAKER_08"
336000,338000,"Alicia quite likes the food.",335700,337500,"SPEAKER_09"
338000,342000,"The pine needles look okay. The rest is yucky. Come Alicia.",335700,335700,"SPEAKER_08"
338000,342000,"The pine needles look okay. The rest is yucky. Come Alicia.",335700,337500,"SPEAKER_09"
342000,344000,"Please let me stay grandma.",338100,344900,"SPEAKER_09"
344000,348000,"Not young lady. I've told you before which is never mixed with people like this.",338100,344900,"SPEAKER_09"
348000,350000,"And that goes for novice which is as well.",345400,353300,"SPEAKER_09"
350000,351000,"Never.",345400,353300,"SPEAKER_09"
351000,353000,"With their knives they're really all grandma.",345400,353300,"SPEAKER_09"
353000,355000,"And I told you that's the trouble.",345400,353300,"SPEAKER_09"
