"start_text","end","text","start_sub","stop","speaker"
20560,32800,"me here for you on your TV they are the movements they are the movements so come with me give me your hand",12800,25700,"SPEAKER_10"
32800,41760,"I'll take you up to a moment land you can fly just like a bird sing that song ever there with the",29700,42600,"SPEAKER_10"
41760,56400,"movements there were the movements there were the movements",29700,42600,"SPEAKER_10"
71760,88160,"during his long winter sleep movement had a dream and strangely enough he dreamt that he was",55400,57300,"SPEAKER_08"
88160,96000,"sleeping",85600,88700,"SPEAKER_00"
99200,107760,"Alicia Alicia wow you can fly on the broomstick now that's right I'm a fully fledged witch now",94600,95600,"SPEAKER_07"
107760,115360,"movement wait give me a ride Alicia can't do that oh don't be mean Alicia because someone's",105200,119500,"SPEAKER_03"
115360,122800,"already riding with me oh man it's me a little boy would you mind if we went a little higher",105200,119500,"SPEAKER_03"
122800,135440,"Alicia sure oh please listen come back please give me a ride",121200,123600,"SPEAKER_03"
135440,157840,"oh well you give me a ride now come on",131600,137000,"SPEAKER_03"
165440,175440,"and",160400,161500,"SPEAKER_03"
175440,182800,"woman valley is really beautiful from up here yes lovely oh at least you'd be careful don't do",175100,177700,"SPEAKER_03"
182800,188480,"things like that what are you talking about we're not doing anything woman a little boy it's you",179500,191700,"SPEAKER_03"
188480,194400,"again no wonder the broom is shaking so much how do you like it I'm pretty good at this aren't I",179500,191700,"SPEAKER_03"
195600,201120,"where did you get this broom from little my I've brought it from the wind bottled it for a while",192000,194500,"SPEAKER_03"
202160,208800,"that's the witch isn't it looks like it maybe we better get out of here you're right stop you two little",195700,201600,"SPEAKER_03"
208800,215440,"thieves give me back my bro that was no yeah you have your own from you witches should learn",208100,208100,"SPEAKER_03"
208800,215440,"thieves give me back my bro that was no yeah you have your own from you witches should learn",208100,212000,"SPEAKER_04"
215440,222320,"out of share but there's no one is just a spare I want my veil from back right now finders keepers",213500,216500,"SPEAKER_04"
222320,227440,"it's my broom come out of brown huh why don't you take a closer look at it that's not a",219200,224100,"SPEAKER_04"
228080,230160,"what do you mean this is not a broom",227800,227800,"SPEAKER_04"
228080,230160,"what do you mean this is not a broom",227800,230300,"SPEAKER_03"
242480,250800,"movement you're right little my little my isn't here movement oh oh I must have been dreaming",241100,244900,"SPEAKER_03"
250800,255600,"you were yelling out loud oh I'm so sorry I didn't mean to wake you up snorkemen",247500,255800,"SPEAKER_03"
257440,273040,"can you see anything only snow everything so light yes the morning's up oh what an",255800,255900,"SPEAKER_06"
273040,280880,"airy light yes spring hasn't arrived yet has it not yet everybody else is still asleep then yes",266900,290500,"SPEAKER_03"
280880,286640,"most of them anyway wonder if my brother's still up well he did say before we started",266900,290500,"SPEAKER_03"
286640,292080,"hibernating he wanted to finish his blueprints before spring if he could I hope you'll succeed",266900,290500,"SPEAKER_03"
292080,300400,"this time when you go out outside just to see what the snow looks like oh no I don't really feel",290900,293900,"SPEAKER_03"
300400,307600,"like it it's nice and warm here why don't we sleep does spring like the others spring is still a",298300,305200,"SPEAKER_03"
307840,314400,"long way off guess you're right it is nice and warm in here",306700,308600,"SPEAKER_06"
314400,320400,"oh",312800,314500,"SPEAKER_06"
329200,338000,"damn it's delicious chocolate cakes my favorite yes I did you say something snorkemen",312800,314500,"SPEAKER_06"
338160,350800,"I'm so very hungry movement your mother's raspberry juice is really the best it is isn't it",335900,337900,"SPEAKER_06"
350800,357040,"everybody said that last winter too he moment yeah I have a funny feeling someone is watching us",349800,359000,"SPEAKER_03"
357040,362960,"and I don't like it one little bit moment poppacate explain it I'm sure of course someone's watching",349800,359000,"SPEAKER_03"
363040,368640,"what but who and how do you know to take you told me all about it last winter snort maiden she",359500,376900,"SPEAKER_03"
368640,374000,"doesn't hibernate you know she lives in our bathhouse and watches over us in the winter she said",359500,376900,"SPEAKER_03"
374000,380880,"that many things are too shy to show themselves oh have you seen them yourself short of except they",359500,376900,"SPEAKER_03"
380880,389040,"were invisible of course like under the sink or in the clock maybe in the empty fireplace and other",377600,382700,"SPEAKER_03"
389120,395760,"dark corners of the room I can feel it did you actually look anywhere for them oh no they'd be",386900,391300,"SPEAKER_03"
395760,400960,"very upset it's better not to let them know we know where they are I wonder what these things look",392700,410600,"SPEAKER_03"
400960,406160,"like some of them look very much like us two tiki said old ancestors of ours from way back she",392700,410600,"SPEAKER_03"
406160,412160,"thinks some of them look like as she said well I've never seen them for myself I wonder if there is",392700,410600,"SPEAKER_03"
412160,423600,"good looking as we are wouldn't it be a good idea to stay up and wait for the sunrise a great idea",411200,413500,"SPEAKER_03"
429600,435280,"now don't say anything to scare them but this is one of the movement's ancestors from way back",419200,423700,"SPEAKER_03"
435920,444880,"is it morning already are you sure I think so there are no clouds so why can't we see the sun I guess",435700,436000,"SPEAKER_03"
444880,450640,"maybe the sun doesn't come up at all this time of the year mom and I don't like this I don't like",438000,448000,"SPEAKER_03"
450640,458240,"you one little bit you silly little girl what do you need this for please grandma I will be",448600,448600,"SPEAKER_03"
450640,458240,"you one little bit you silly little girl what do you need this for please grandma I will be",448600,452100,"SPEAKER_05"
458240,464720,"long I promise what are you talking about is if you could fly a broom get back back to me at once",456800,472300,"SPEAKER_04"
464720,469680,"no I won't give it back now give me back bram and don't be silly how many times from",456800,472300,"SPEAKER_04"
469680,475520,"I tell you you can't go visiting Moomin Valley but it's so boring here I want some company grandma",456800,472300,"SPEAKER_04"
476800,480720,"come on bram fly off take me to Moomin Valley",475700,475700,"SPEAKER_05"
480720,492480,"oh help me up grandma please all right my girl I'll help you up shall I",479400,480800,"SPEAKER_05"
492480,499920,"I don't believe it I'm floating",490400,493100,"SPEAKER_04"
499920,501920,"oh",497900,497900,"SPEAKER_04"
499920,501920,"oh",497900,500200,"SPEAKER_05"
501920,503920,"oh",500800,502500,"SPEAKER_05"
503920,505920,"oh this is great",502600,506800,"SPEAKER_05"
505920,507920,"wait oh",502600,506800,"SPEAKER_05"
507920,509920,"I'm falling",506800,511000,"SPEAKER_05"
509920,511920,"oh",506800,511000,"SPEAKER_05"
511920,513920,"oh",511900,517800,"SPEAKER_05"
513920,515920,"how about that of these",511900,517800,"SPEAKER_05"
515920,517920,"I'll find the bird around here",511900,517800,"SPEAKER_05"
517920,519920,"oh",511900,517800,"SPEAKER_05"
519920,521920,"to bury things a bit how about this",519700,522000,"SPEAKER_05"
521920,523920,"oh no",520700,520900,"SPEAKER_04"
523920,525920,"stop the bram grandma",522000,522200,"SPEAKER_07"
525920,527920,"oh",522000,522200,"SPEAKER_07"
527920,531920,"you wanted to ride on the brum didn't you first so look like well",527000,531900,"SPEAKER_04"
531920,533920,"oh",529200,530000,"SPEAKER_07"
533920,535920,"oh",529200,530000,"SPEAKER_07"
535920,537920,"oh",535500,536300,"SPEAKER_04"
537920,539920,"oh",535500,536300,"SPEAKER_04"
541920,546960,"if you want to learn to fly on this bram Alicia then forget all about those",538200,538500,"SPEAKER_04"
546960,551600,"dreaded movements and really start studying it's hard work you know young woman you",543500,553000,"SPEAKER_04"
551600,553600,"let's learn concentrate",543500,553000,"SPEAKER_04"
553600,561600,"hey you up there are you making fun of me too",543500,553000,"SPEAKER_04"
561600,575600,"oh I can't climb down there of course you can even if you fall you can't hurt yourself on this soft snow",559800,562500,"SPEAKER_05"
575600,581520,"don't shake the ladder Moomin this is scary slowly does it take it easy as",569300,575300,"SPEAKER_03"
581520,585520,"you can don't look down maybe going out wasn't such a good idea after all",576200,588100,"SPEAKER_03"
585520,589520,"we can always change our mind to go back to sleep you know",576200,588100,"SPEAKER_03"
589520,593520,"see you've made it it's very cold out here Moomin but I'd rather like it",589200,590400,"SPEAKER_03"
597520,603520,"this is the roof over the front door isn't it yes and everything will be snowed up now to spring oh no",594500,598200,"SPEAKER_03"
603520,605520,"what's happened to our firewood",598800,605600,"SPEAKER_03"
605920,615840,"what's the matter there's not much wood left in here someone else must be burning it",598800,605600,"SPEAKER_03"
615840,623760,"yes but who and for what I wonder I can feel it we're not alone in this forest I'm sure",612300,618600,"SPEAKER_03"
623760,628720,"someone's watching us all those winter creatures no I don't think it's them",620700,625200,"SPEAKER_03"
628720,633840,"the grog",625500,628900,"SPEAKER_03"
638320,641680,"goodness me look how big she gets in the winter time",633300,634000,"SPEAKER_03"
641680,646480,"Moomin I'm scared it'll be all right",638400,641800,"SPEAKER_03"
647360,649600,"grog stop right there",645400,646500,"SPEAKER_03"
652240,656720,"don't come any closer if you please you're much much too cold for us you see",650800,652100,"SPEAKER_03"
657120,664800,"you could freeze a stiff you know oh is it possible that you get lonely all by yourself",657000,657600,"SPEAKER_07"
667040,671920,"I don't think there's anything we can do to help you know not without fur coats and earmuffs and",665600,670000,"SPEAKER_03"
671920,674480,"more gloves anyway we must go",670000,673400,"SPEAKER_06"
691440,695600,"someone's been stealing our firewood I wonder what they're doing with it",677100,677300,"SPEAKER_07"
695600,703280,"something bad there's no doubt about that must have been several people did this",691500,695300,"SPEAKER_03"
718160,723520,"we had a lot of fun here in the summer remember well the she is still here",695700,700600,"SPEAKER_03"
723520,733520,"round of the ice I hope too ticky too ticky there's no one here are you sure look for yourself",721800,725300,"SPEAKER_03"
736800,742640,"I know they're invisible but I'm a shrewmice in here hard to tell with things you can't see",730700,733700,"SPEAKER_03"
743760,750880,"oh what is it it felt like something scampering on my back that's all right it must be one of the shrewmice",741400,742900,"SPEAKER_06"
753920,769440,"oh my god my goodness I've never seen anything quite like this before hi it's good to see you",748600,751100,"SPEAKER_03"
770160,776880,"you're right she's fishing hi to ticky hello to ticky so this winter's not meant to walk up to huh",764000,769800,"SPEAKER_03"
