"start_text","end","text","start_sub","stop","speaker"
21000,29000,"Here for you on your TV, they are the movements, they are the movements.",12800,21300,"SPEAKER_11"
29000,36000,"So come with me, give me your hand, I'll take you up to a movement land.",26700,28300,"SPEAKER_11"
36000,46000,"You can fly just like a bird, sing that song ever, there were the movements, there were the movements,",29700,42600,"SPEAKER_11"
46000,58000,"there were the movements there were the movements, there were the movements, there were the movements.",46000,54500,"SPEAKER_10"
76000,106000,"Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh,",55600,57200,"SPEAKER_10"
106000,132300,"Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh-oh, oh, oh-oh, oh, oh, oh, oh, oh, oh, oh, oh-hhhhhh...",105200,108000,"SPEAKER_07"
132300,135300,"The witch has come to Moomin Valley.",105200,108000,"SPEAKER_07"
135300,137300,"What could she be up to this time?",132800,137100,"SPEAKER_00"
137300,139300,"Eldris Cabalasum!",132800,137100,"SPEAKER_00"
139300,140300,"Eldris Cabalasum!",138000,149500,"SPEAKER_15"
140300,142300,"Eldris Cabalasum!",138000,149500,"SPEAKER_15"
142300,143300,"Eldris Cabalasum!",138000,149500,"SPEAKER_15"
143300,144300,"Eldris Cabalasum!",138000,149500,"SPEAKER_15"
144300,146300,"Eldris Cabalasum!",138000,149500,"SPEAKER_15"
146300,147300,"Eldris Cabalasum!",138000,149500,"SPEAKER_15"
147300,148300,"Eldris Cabalasum!",138000,149500,"SPEAKER_15"
148300,149300,"Eldris Cabalasum!",138000,149500,"SPEAKER_15"
149300,150300,"Eldris Cabalasum!",138000,149500,"SPEAKER_15"
150300,151300,"Eldris Cabalasum!",149800,156300,"SPEAKER_15"
151300,152300,"Eldris Cabalasum!",149800,156300,"SPEAKER_15"
152300,153300,"Eldris Cabalasum!",149800,156300,"SPEAKER_15"
153300,154300,"Eldris Cabalasum!",149800,156300,"SPEAKER_15"
154300,155300,"Eldris Cabalasum!",149800,156300,"SPEAKER_15"
155300,156300,"Oh!",149800,156300,"SPEAKER_15"
158300,160300,"Oh, it's snowing again.",149800,156300,"SPEAKER_15"
160300,162300,"I must get a covered brown.",159000,160300,"SPEAKER_15"
164300,165300,"Oh!",160800,162000,"SPEAKER_15"
191300,193300,"The great thaw had come at last.",190700,193000,"SPEAKER_00"
199300,200300,"The Moomin Valley.",199200,200300,"SPEAKER_00"
206300,208300,"I think I can smell spring!",206200,208000,"SPEAKER_02"
211300,214300,"Oh, I've never seen anything like this one before.",211100,213700,"SPEAKER_04"
221300,223300,"Hello there, Mr. Hamilton.",214200,214400,"SPEAKER_07"
223300,224300,"Hello, Sniff.",221700,223200,"SPEAKER_02"
224300,225300,"You're up early this year?",223700,225900,"SPEAKER_04"
225300,226300,"Yes.",223700,225900,"SPEAKER_04"
226300,229300,"I think I've even beat Moomin to it.",226100,226800,"SPEAKER_02"
229300,230300,"Is that so?",229100,229100,"SPEAKER_04"
230300,232300,"Why are the Moomin so late this year?",229900,232700,"SPEAKER_04"
240300,241300,"Moomin, wake up!",240300,245400,"SPEAKER_02"
241300,242300,"Spring is here!",240300,245400,"SPEAKER_02"
242300,243300,"It's time to wake up!",240300,245400,"SPEAKER_02"
243300,244300,"Moomin!",240300,245400,"SPEAKER_02"
246300,248300,"Maybe Snork Maiden's easier to wake up.",240300,245400,"SPEAKER_02"
249300,250300,"Snork Maiden!",246700,248800,"SPEAKER_02"
252300,254300,"And I thought I was difficult to wake up.",249500,251200,"SPEAKER_02"
254300,255300,"I must get closer.",252500,254700,"SPEAKER_02"
266300,267300,"What are you doing, Sniff?",258100,258200,"SPEAKER_02"
267300,268300,"What am I doing?",266800,277400,"SPEAKER_03"
268300,269300,"You can see, can't you?",266800,277400,"SPEAKER_03"
269300,272300,"Of course I can, but why are you climbing up that?",266800,277400,"SPEAKER_03"
272300,274300,"Moomin and Snork Maiden are still asleep.",266800,277400,"SPEAKER_03"
274300,275300,"I have to wake them up.",266800,277400,"SPEAKER_03"
275300,276300,"Why don't you go this way?",266800,277400,"SPEAKER_03"
