"start_text","end","text","start_sub","stop","speaker"
21000,29000,"Here for you on your TV, they are the movements, they are the movements.",12800,25500,"SPEAKER_09"
29000,35000,"So come with me, give me your hand, I'll take you up to a moment land.",26700,28200,"SPEAKER_09"
35000,46000,"You can fly just like a bird, sing that song ever, there were the movements, there were the movements,",29600,42600,"SPEAKER_09"
47000,66000,"there were the movements, there were the movements, there were the movements, there were the movements.",46800,54400,"SPEAKER_00"
66000,67000,"What?",55500,57200,"SPEAKER_00"
67000,68000,"What?",55500,57200,"SPEAKER_00"
68000,80900,"Big explosions could be heard in Moomin Valley almost every night, and Moomin couldn't sleep",55500,57200,"SPEAKER_00"
80900,81900,"awake.",75500,81400,"SPEAKER_01"
81900,89680,"Usually there was just one, but sometimes even two.",81600,85100,"SPEAKER_01"
89680,91680,"You heard it too, Moomin, pop up.",89500,90500,"SPEAKER_04"
91680,94480,"Yes, those loud bangs are kicking me awake.",90500,94000,"SPEAKER_18"
94480,99760,"I wonder if there'll be another one.",94400,95900,"SPEAKER_04"
99760,101960,"They seem to be coming from the north.",99700,101400,"SPEAKER_04"
101960,103680,"Hmm, he's sti-thought.",101800,103500,"SPEAKER_18"
103680,105800,"Or they could be coming from lonely mountains.",103600,105800,"SPEAKER_04"
105800,109360,"If you ask me, I believe they're the work of the witch.",105800,109100,"SPEAKER_18"
109360,110360,"The witch?",109100,112300,"SPEAKER_04"
110360,112560,"But witches don't make a lot of noise.",109100,112300,"SPEAKER_04"
112560,113560,"Never know.",112300,115500,"SPEAKER_18"
113560,116200,"They're sneaky characters.",112300,115500,"SPEAKER_18"
116200,120960,"Tomorrow I'll have a few words with the inspector, except to him to put a stop to it.",116100,120800,"SPEAKER_18"
120960,123800,"Papa, why would the witch want to make explosions?",120900,124000,"SPEAKER_04"
123800,124800,"Why not?",120900,124000,"SPEAKER_04"
124800,129320,"The first bang wakes me up, and then I lie awake waiting for the second one, which might",124000,130600,"SPEAKER_18"
129320,130920,"not come at all.",124000,130600,"SPEAKER_18"
130920,134760,"The bags might not come from Moomin Valley at all, and they might be just an echo off",130800,135600,"SPEAKER_04"
134760,135760,"the mountains.",130800,135600,"SPEAKER_04"
135760,136760,"Do you think so?",135600,136300,"SPEAKER_18"
136760,137760,"Yes, I do.",136300,139500,"SPEAKER_04"
137760,139520,"Well, at least that's what Snuffkin thinks.",136300,139500,"SPEAKER_04"
139520,141800,"And the explosions might come from the sea.",139200,141600,"SPEAKER_18"
141800,143280,"That's what Snuffkin figured.",141600,146500,"SPEAKER_04"
143280,146360,"He thought it might be pirates or something making the noises.",141600,146500,"SPEAKER_04"
146360,150040,"He's already had pirates, and they went a long time ago.",146200,152500,"SPEAKER_18"
150040,151520,"I'm plumping for the witch.",146200,152500,"SPEAKER_18"
151520,152520,"There's no doubt in my mind.",146200,152500,"SPEAKER_18"
152560,154080,"What are you doing out here?",152400,154200,"SPEAKER_04"
154080,156920,"We're waiting for another explosion, Mama.",152400,154200,"SPEAKER_04"
156920,158480,"You're waiting, Vane, dear.",156700,156700,"SPEAKER_18"
156920,158480,"You're waiting, Vane, dear.",156700,165800,"SPEAKER_16"
158480,160480,"No, no, no, no, that Moomin, Mama.",156700,156700,"SPEAKER_18"
158480,160480,"No, no, no, no, that Moomin, Mama.",156700,165800,"SPEAKER_16"
