start	end	text
0	2500	Oh, what exactly is it you're observing?
2500	5500	I'm sure I saw a beautiful crayfish in there.
5500	9500	Crayfish? Excuse me, young man, but that is zoology.
9500	12500	Quite the most uninteresting field.
12500	14500	There it is.
42500	49500	Oh! Hey, hey, hey, hey!
73500	79500	I got him! I got him!
79500	84500	I got him!
96500	98500	A dragon?
102500	109500	Papa!
109500	113500	Oh, what have you got there?
113500	115500	Oh, oh, nothing, Papa.
115500	118500	Everything's so fresh after the rain.
118500	119500	Oh, woman.
119500	123500	Yes, it is.
123500	127000	I've got to show this to Snuffkin before anybody else sees it.
147000	148500	Boom, moment!
148500	150500	What have you got there, Moomin?
150500	153000	Oh, nothing. Nothing at all, little lie.
153000	156000	Oh, yes, you have, I saw it. Don't lie to me.
156000	158000	It's just one of Mom's old jars.
158000	160000	Liar, liar, I know there's something.
160000	162000	I don't think there's nothing.
165000	168000	Then why are you hiding it?
168000	172000	Oh, right, little mice. See me, it's not fair.
173000	174000	Dragon.
174000	176000	Ah, yeah, I was right.
176000	178000	They must be a baby dragon.
178000	182000	Probably the very last one on Earth and washed up by the rain.
182000	184000	A dragon of my own.
184000	187000	Well, that's wonderful.
187000	190000	Oh, I hope I didn't frighten you.
190000	193000	I know what I'll do.
193000	195000	I know what I'll do.
195000	197000	I know what I'll do.
197000	199000	I know what I'll do.
199000	201000	I know what I'll do.
201000	203000	I know what I'll do.
203000	206000	I'll take the lid off the jar so you can get some fresh air, little dragon.
210000	212000	See? That better, isn't it?
212000	214000	Come on, little fella.
214000	217000	We'll give you a car to make you feel better.
217000	219000	Ow!
219000	222000	Oh, that burnt me!
223000	226000	What a fierce little dragon you are.
226000	227000	Don't worry.
227000	228000	I'll look after you.
228000	230000	I'll take good care of you.
230000	234000	And when you're bigger and start to like me, I'll take you swimming in the sea.
237000	238000	Oh, I'm sorry.
238000	239000	You must be starving.
239000	243000	I'll get you something from my nighttime emergency food box.
243000	245000	I've got lots of things in there.
245000	247000	It's bound to be something you like.
254000	255000	The one.
255000	257000	Take anything you want.
261000	262000	Oh.
282000	286000	Gosh, that's really clever, little dragon.
286000	289000	Move it. Lunch is ready.
289000	290000	Gummy!
290000	292000	Now you stay here.
292000	295000	Don't worry. I'll be back in no time at all.
295000	298000	Remember, you're my own little dragon.
306000	307000	Where's sniff?
307000	309000	I thought he was here as well.
309000	311000	He's collecting worms for fishing.
311000	312000	He'll be here soon.
312000	314000	We'll start without him then.
314000	318000	You know, Mama, certain people keep secrets in glass jars.
318000	319000	Secrets?
321000	324000	Oh, yes, a little secret that hisses.
325000	329000	Moment, Mama, I found this near the big puddle.
330000	332000	Thank you, sniff.
332000	335000	Moment, I told you I wanted it back.
335000	337000	It's my very best one.
337000	338000	Sorry, Mama.
338000	339000	I was so excited.
339000	341000	I must have left it when I found...
341000	342000	I mean, when I was...
342000	345000	And I'm sure you know who I mean by certain people.
345000	348000	Did you catch anything with the sieve, Moment?
348000	352000	Yes, he did. Something that's now hidden in his room.
352000	353000	Big mouth.
353000	355000	If it's a secret, little my.
355000	357000	Perhaps he doesn't want to tell anyone.
357000	359000	Yeah, probably because his new pet bites.
359000	362000	Well, it hasn't bitten you yet, hasn't it?
362000	364000	If it did, I'd bite it back.
364000	367000	Is it true? Does your secret really bite people?
367000	369000	Well, it couldn't bite very hard.
369000	372000	If it was small enough to go in a jar, could it, Papa?
372000	376000	I suppose certain people might keep other small things in jars,
376000	380000	beetles and spiders, mosquitoes, scorpions, or poisonous centipedes,
380000	383000	horrible things that multiply and multiply every week
383000	386000	and grow and grow until the jars are too small.
387000	389000	See? Like that.
389000	392000	And there'll be so many of them, thousands and thousands
392000	395000	and they'll take over moving valley and eat us all.
395000	397000	Oh, well, I haven't got a centipede.
397000	400000	Hmm, I wonder if centipedes come from outer space.
400000	402000	But this is the earth deer.
402000	405000	The rain could have brought them down from space, Mama, couldn't it?
406000	410000	Well, you could be right. It was raining very hard yesterday.
410000	412000	And it wasn't like ordinary rain.
412000	415000	I saw a puddle as big as a lake.
417000	419000	What's the matter, movement?
419000	421000	It isn't a centipede.
423000	425000	Ha, we're on the right track, though.
425000	428000	Well, I'm glad it's not a poisonous centipede.
428000	430000	I shouldn't have liked that.
438000	440000	Oh, you're asleep.
440000	442000	Moomin's little dragon.
446000	449000	Is it okay if I go see snuffkin, Mama?
449000	450000	Have you finished already?
450000	451000	Yes, I have.
451000	454000	Tell them they mustn't go into my room.
454000	457000	Or they'll have to take the consequence, sis.
457000	460000	All right, Moomin, I'll make sure no one goes in there.
460000	461000	I promise.
463000	466000	Oh, but he's gonna tell snuffkin' this secret.
466000	468000	I should think he is.
468000	471000	Best friends always come first, little my.
488000	490000	Hey, snuffkin.
490000	492000	Hi.
492000	494000	Fishing again?
494000	495000	Yep.
495000	500000	The cards told me that if I caught five menos, one right after the other, I'd be traveling south.
500000	501000	South?
501000	503000	You're joking.
503000	505000	Not at all. I believe in the cards.
505000	508000	But snuffkin, winter's not here yet.
508000	512000	I know that, but the cards tell you things for a reason, Moomin.
512000	514000	Oh, do they really?
515000	517000	But it would be awfully few when you waste snuffkin.
517000	518000	Just awful.
518000	520000	I mean, I'd be very lonely.
520000	523000	Well, anyway, who would I talk to or tell my secrets to?
526000	528000	Oh, snuffkin, quickly.
528000	530000	You must come back to Moomin house.
530000	531000	Now?
531000	532000	Yeah.
532000	534000	Well, I suppose I could fish later.
534000	536000	No, no. There's no point.
536000	538000	But I have to catch five menos.
538000	539000	Oh.
539000	541000	The fish won't bite after all is rain.
541000	542000	You'd catch nothing.
542000	545000	It'll be better to wait until it stops flowing so fast.
545000	547000	Well, perhaps you're right.
547000	549000	So what's this big secret all about?
549000	551000	Hey, Moomin.
552000	555000	Have you ever seen a dragon snuffkin?
555000	556000	No, of course not.
556000	560000	They all disappeared off the face of the earth many hundreds of years ago.
560000	563000	But perhaps they didn't all disappear.
563000	565000	What if there was one alive somewhere?
565000	567000	That's impossible.
567000	570000	It could be so small that it would go in a glass jar snuffkin.
570000	573000	Are you sure you're not daydreaming, Moomin?
573000	575000	But still, anything is possible, I suppose.
575000	577000	But you know me.
577000	580000	I have to see it right in front of me before I believe it.
585000	586000	Oh, where is it?
586000	589000	Mama promised me that she wouldn't let anyone in.
594000	596000	I'd not hear either.
596000	598000	Well, you were right, Moomin.
599000	600000	What?
605000	606000	Ah, there he is.
606000	608000	I think you've found a real dragon.
608000	610000	How do you get up there?
610000	611000	He mustn't fall.
611000	612000	He might lose his tail.
612000	614000	Don't move, little dragon.
614000	616000	And snuffkin, keep quiet.
616000	618000	You might get frightened and do something silly.
618000	620000	Don't worry, I'll soon have you down.
620000	622000	This will do. I'll lay it on the floor here.
622000	624000	Jump, little dragon.
624000	625000	Don't be afraid.
625000	628000	Come on, hold onto this and we'll bring you down slowly.
628000	629000	Don't panic.
631000	633000	I don't think it's a very good idea, Moomin.
633000	635000	You'll only scare him away.
635000	637000	Why don't you just leave him alone?
637000	639000	He'll come down when he's ready.
639000	642000	Dragons aren't helpless, you know, even little baby ones.
642000	643000	But he's so small.
643000	644000	Come to Moomin.
644000	647000	Come on, don't you understand?
647000	649000	Hold onto that and I'll listen to you.
649000	650000	Ah!
650000	651000	Ah!
651000	652000	Ah!
653000	654000	Ah!
658000	659000	Ah!
661000	662000	Look at him!
662000	664000	My dragon, come fly!
664000	665000	He's flying!
665000	666000	He's flying!
666000	668000	Come down, little dragon.
668000	670000	You might question or something.
670000	671000	Come down!
673000	674000	Oh!
679000	681000	Be careful, snuffkin.
681000	682000	He might bite!
696000	697000	I don't think so.
697000	699000	He's a very unusual pet.
700000	703000	I think he likes you more than me.
706000	707000	Ah!
708000	712000	What a charming little creature, Moomin.
712000	713000	He's lovely.
713000	714000	What's his name?
714000	716000	He's called Little Dragon.
716000	717000	Ha!
717000	718000	I don't think he's lovely at all.
718000	721000	Small but savage, if you ask my opinion.
721000	723000	That sounds just like you, little mind.
723000	724000	You think so?
724000	725000	Ow!
728000	729000	Yeah!
729000	731000	No, oh, oh, oh.
731000	732000	Oh!
734000	735000	Now look here.
736000	737000	Ah!
740000	743000	He seems to have a thing about ears, doesn't he?
743000	745000	Step snuffkins, why doesn't he bite him?
745000	747000	Go on, dragon.
747000	748000	Go on, baby!
748000	749000	He's really tasty!
749000	750000	Go on!
751000	754000	Good news, I think he's trying to heat up snuffkins coffee.
754000	756000	He must really like him.
759000	760000	Cleve a little thing.
760000	763000	Well, I hope he's careful with that hot breath.
763000	764000	We don't want to start a fire.
764000	766000	All right, that's enough.
768000	769000	He might be useful.
769000	771000	When he's bigger, we can put him in the cellar
771000	774000	and he'll be able to keep the whole house just like a furnace.
774000	776000	No, we will not.
784000	785000	Go away!
785000	786000	You passed!
788000	789000	Ow!
791000	792000	And you!
793000	795000	He only thought you were trying to get his fly.
795000	797000	I'll get him if he bites me again.
797000	799000	Just you watch me do it.
799000	801000	Come on, little dragon.
816000	817000	I'm sure that'll keep him quiet.
817000	818000	I'd better go.
818000	820000	Thanks for the coffee, Mumma.
822000	825000	Oh no, it'll suffocate him.
853000	855000	He only seems to like snuffkin.
855000	858000	Well, we all like snuffkin.
858000	860000	Stupid old dragon.
860000	862000	No, he isn't.
863000	866000	Mum and dear, why don't you take him to your room?
866000	868000	He'll be happier there.
871000	873000	This will be best for him.
875000	878000	Oh, I wonder if he'll come back to visit us.
878000	880000	Why did you do that?
880000	883000	He was cute and we could have always worn earmuffs.
883000	885000	You can visit him in snuffkin's tent.
885000	888000	I expect little dragons already sitting on his shoulder.
888000	890000	It doesn't matter anyway.
890000	892000	Snuffkin's going south soup.
892000	894000	They'll be able to go together.
894000	896000	Oh, my dear, Mumma.
896000	897000	Never mind.
903000	905000	Well, you're a bit of a problem.
905000	907000	I don't want you here, little dragon.
907000	908000	Come on, go away.
908000	910000	Go to Mumma.
910000	911000	Don't do that.
911000	914000	Oh, come on, please go to Mumma.
914000	917000	Look, you're very nice and it'll be fun to have you along.
917000	918000	But there's Mumma.
918000	921000	And he'd know you were here and you'd be upset.
921000	924000	Oh, there's another one.
932000	933000	That's the fifth.
933000	935000	Oh, dear.
938000	940000	Hmm?
942000	944000	Any luck?
944000	945000	Not bad.
945000	947000	Are you going far?
947000	949000	Oh, I'm fair away.
949000	951000	Would you like some fresh fish?
951000	953000	I'm sure you'll get hungry.
955000	958000	Yeah, what do you want in return?
958000	959000	A small favor.
968000	971000	Take this as far as you can, open the lid and just leave it.
971000	973000	What? Just leave it?
973000	977000	Yes, in a nice quiet place, with lots and lots of flies.
977000	979000	Flies? What's in there?
979000	980000	A dragon.
980000	982000	A dragon? Does it bite?
982000	983000	Well, it might.
983000	985000	This is a big favor.
985000	987000	I don't even like minnows.
987000	988000	Oh, they're not too bad.
988000	991000	If you roast them, keep the lid on.
991000	994000	But make sure you open it up later so it can catch the flies.
994000	997000	All right, as long as it doesn't try to bite me.
997000	999000	Don't worry, it won't.
1011000	1012000	Hello.
1012000	1013000	Hi.
1013000	1015000	Oh, oh, oh.
1015000	1016000	Where is he?
1016000	1017000	Who is that?
1017000	1018000	My dragon.
1018000	1021000	He must have come here, snuffkin.
1021000	1022000	Oh, really?
1022000	1025000	I thought he was home with you, sleeping in your room.
1025000	1027000	No, I let him out.
1027000	1030000	Ah, well, dragons are very fickle.
1030000	1032000	All they really care about is big fat flies.
1032000	1035000	It's best to forget about a movement.
1038000	1040000	Did you catch your five minnows?
1040000	1043000	No, you were right. The water is too fast.
1043000	1044000	Oh, really?
1044000	1046000	So I won't go south until winter comes.
1046000	1048000	You'll stay here then?
1048000	1051000	Well, I'm sure it wouldn't do to go against the cards.
1051000	1053000	Now what a movement, my friend.
1053000	1056000	Oh, that's great. You're staying snuffkin.
1056000	1060000	Fantastic. That's really, really good.
1060000	1063000	Ah, perhaps I shouldn't have painted the float bright red.
1063000	1066000	It might have scared those little minnows right away.
1066000	1067000	Okay, let's go.
1067000	1068000	Yeah.
1071000	1074000	That dragon was sort of stupid.
1074000	1075000	Baby dragons are.
1075000	1077000	They make the world's worst pets.
1077000	1079000	They never want to settle in one place.
1079000	1081000	Yeah, you're right.
1081000	1084000	It was very funny, though, when it bit little mice here.
1084000	1087000	I think it gave her a taste of her own medicine.
1089000	1093000	The movement was very happy that snuffkin was staying in movement valley
1093000	1096000	and not going south until winter.
1096000	1101000	And as for the dragon, well, who wants to be loved by a silly old dragon?
1101000	1108000	They love the laughter and they love the living the movements.
1108000	1115000	Believe in sharing and caring and giving the movements.
1115000	1119000	They're always happy and always at play.
1119000	1123000	The movements are having fun day after day.
1123000	1126000	The movements.
1126000	1130000	The movements.
1130000	1137000	They love the laughter and they love the living the movements.
