start	end	text
0	21000	Here they are for one and all, the movements are about to come, come on and sit down here with me.
21000	29000	Here for you are your TV, they are the movements, they are the movements.
29000	35000	So come with me, give me your hand, I'll take you up to a moment land.
35000	46000	You can fly just like a bird, sing that song ever, there were the movements, there were the movements,
46000	58000	There were the movements, there were the movements, there were the movements, there were the movements.
76000	77400	Clap Clap Clap Clap
77480	80100	Clap Clap, and then clap
82320	85300	Pap dap dap dap bap bap
88380	91920	Pap dap dap, tap dap bap bap bap
97700	101560	Have you ever heard of Moon & Valley...
101560	110440	In winter, deep white snow covers the whole valley, and everyone goes to sleep so that they
110440	112640	keep warm.
112640	123760	Look, there's a woman house.
123760	131480	There's a woman, our hero.
131480	140920	A woman, Papa, and a woman, Mama.
140920	154440	And this little bundle must be little my.
154440	161440	I think before our story starts, we better wake everyone up with some spring sunshine.
184440	194440	At last, it's spring.
194440	201440	Wake up everyone, it's spring time.
201440	218440	Oh, little my, you're up.
218440	224440	It's hard to stay asleep with you yelling, I can't help it if I'm happy.
224440	230040	So yeah woke me, I was having a lovely dream about living in a watermelon, but it's beautiful
230040	231040	outside.
231040	234040	Oh gee, isn't it, is it really moving?
234040	239040	Yes, it's all fresh, the flowers are out and the sun is shining.
239040	241040	So, I like being asleep.
241040	242040	But it's spring.
242040	245040	You said you wanted me to wake you as soon as spring was here.
245040	247040	Oh boy, did I?
247040	249040	Yes, you did, little my.
249040	252040	You said you wanted to be a welcome as soon as spring was here.
252040	253040	Really?
253040	255040	Yes, you did.
255040	258040	Did I say something like that?
258040	260040	I can go back to bed if you want to.
260040	262040	Nobody's making you get up, little my.
262040	265040	No, there's really no point, movement.
265040	266040	I'm not sleepy anymore.
266040	269040	Well, there you are then.
269040	271040	Mama!
271040	273040	Good spring, movement.
273040	274040	Movement, mama.
274040	275040	I'm starving.
275040	277040	Have you got any watermelon?
277040	280040	No, but there's lots of other things.
280040	284040	We'll all have a nice big breakfast.
288040	291040	I can hear a snuff gun.
305040	309040	Wouldn't it be quicker to use the stairs?
309040	311040	More fun this way.
311040	314040	Are you going home now?
314040	315040	Yes.
315040	318040	Thanks very much for letting me spend the winter here.
318040	321040	Don't think your sister will be back yet, though.
321040	323040	I'll go anyway.
329040	331040	Snuff gun!
331040	333040	Oh, hello, movement.
333040	336040	It's really good to see you, snuff gun.
336040	337040	And you too?
337040	338040	You're back, Arlie.
338040	340040	Won't you have a good time?
340040	342040	Yes, I was.
