start	end	text
0	20920	here they are for one and all the moments are about to come on and sit down here with
20920	30760	me here for you on your TV they are the moments they are the moments so come
30760	37600	with me give me your hand I'll take you up to a moment land you can fly just
37600	45920	like a bird sing that song ever there were the moments there were the moments
45920	57920	there were the moments there were the moments there were the moments
75920	87920	there were the moments there were the moments there were the moments
106920	111720	snuffkin this put up his tent on the river bank he likes being on his own
111720	116680	and has decided to stay there until winter comes happy and a peace with the
116680	118200	world
118200	127160	moman loves to spend as much time as he can his friend snuffkin snuffkin snuffkin
127160	132320	snuffkin where are you he must have forgotten I was coming and gone off
132320	137960	somewhere how can he enjoy being here on his own I'd like to be alone now and
137960	143160	then you know oh silly let's go and explore let's leave it till tomorrow snork
143160	149040	maiden but we said we'd go today yeah we did too moman you are the one that said it
149040	155680	you know you did I didn't you did too all you must come we're going to collect
155680	161920	shells on the beach come on it'll be fun oh no
161920	177200	hey it's sniff where are you guys going oh I envy snuffkin oh why do I just do I wonder
177200	185360	where snuffkin has gone I wonder if we'll ever find anything is exciting as the
185360	192160	hat yeah it was very special that hat did you really throw it in the river yeah I
192160	196720	wish you hadn't it was much too dangerous to keep look at the horrible things
196720	201440	it did to me but what about the eggshells it turned into clown yeah it was good fun
201440	207800	flying around perhaps I'll find an oyster with a huge pearl inside
215440	217440	oh
229920	238720	moman moman moman moman wake up snork maiden needs help what what's happened we were
238720	243040	playing tag and she fell into an outline hole we've got to get her out quickly come on
243040	249920	moman nearly there snork maiden just a bit further help me sniff give me your hand hurry
255200	262400	look what you're doing to my hole I'm sorry I'll be out soon stop yelling and kicking like that
262400	272880	you're scaring off my prey are you all right snork maiden I can't
272880	282560	creature I don't have to have ants for lunch you know you better get in there sniff what me don't
282560	288880	worry I'll hold on to you you're the only one tall enough sniff come on you look nice and tasty
288880	296960	I'll eat you instead get in there you're big where you don't you call me a big
303200	305200	oh
311440	314000	thank you are you ready hold tight
318880	320560	it's just nice and safe kicking
325200	326800	come on nearly a bit
326800	328880	oh
351520	356400	where have you been snuffkin that's a big secret movement I won't tell anyone
356400	360080	All right, it's the magic hat. It's on a sandbank further down the river.
360080	361120	Gosh!
361120	363120	But something terrible is happening.
363120	364720	What? What is it?
369360	372560	Oh dear, perhaps we shouldn't have thrown it in the river.
373600	375840	It's too late now. Let's get there cooking.
375840	389760	There it is. It's caught on a branch in the middle.
391280	396320	Where? Oh, Smoughkin, I can see it. Look at the water. It's all red.
396800	400400	Hmm, seems to be coming from the hat. I wonder what it is, Moong.
400400	402800	I'll go and get it. Be careful.
402800	407600	Shall I come too? No, you stay there.
414560	415760	Have you got it? Uh-huh.
432800	439280	Wow! It's raspberry juice.
441440	443440	What should we do with the hat?
443440	446400	Well, I don't think it's a good idea to leave it lying around.
446400	448240	Somebody might crawl into it.
448240	452000	But if we put water in it, we can have as much raspberry juice as we can drink.
452720	457360	Well, that would be nice. But you know, Moong, it could only be river water that does that.
457360	458400	You know what I mean, Moong?
459120	461200	Well, I think it's worth experimenting.
463360	465360	What's the matter, Moong? You look very tired.
