start	end	text
0	21000	here they are for one and all the movements are about to come on and sit down here with
21000	33000	me here for you on your TV they are the movements they are the movements so come with me give me your hand
33000	43000	I'll take you up to a movement land you can fly just like a bird sing that song ever there with the movements
43000	58000	there were the movements there were the movements there were the movements there were the movements
73000	102920	the sun is shining and movement valley is enjoying its usual
102920	118920	peace and tranquility wait a minute who's this wait for me moment
118920	127920	are they ready are what ready the pancakes not yet this hot goblin wood doesn't seem to burn very well
127920	134920	are they cooking they won't be long have some lemonade while you're waiting mama are the pancakes ready yet
134920	143920	oh well everything seems normal in the movement house I'm a dumbo I'm a no good me good boop nini
143920	150920	no you're not snork you're very clever I'm a failure of flap of frightful fraud and a misfit
150920	158920	but your land ship was a success wasn't it kid stuff look if you can make a ship that runs on land
158920	166920	then I'm sure you can make one that flies I believe in you fat lot of good that does me snort and maiden
166920	175920	you know last night I thought I've done it a fly ship then I looked at it again no good no good
175920	182920	it was all wrong wouldn't couldn't fly at all oh how could someone so intelligent be such an idiot
182920	191920	oh dear oh dear well they're ready go and tell the others little my all right
191920	200920	movement mama where's movement and snork maiden snork maiden's ball and again come on snork maiden cheer up
200920	205920	I'm sure snork will get over it inventors always feel down in the dumps when something doesn't work
205920	213920	this moment Papa do you think he invents stories doesn't he movement well there was really
213920	218920	snork maiden do you want some pancakes oh yes please movement mama
218920	223920	movement go and get papa I have a feeling his writing has got stuck again
223920	230920	okay mama now what's the matter snork maiden
230920	236920	the sun returned to the eastern sky when morning came and everything started to get lighter and
236920	245920	loud dear everybody knows that even the stupidest guitar really I have absolutely no literary
245920	251920	I'm an ignorant son a literate dilettant nor an illiterate idiot it's high time I gave up writing
251920	262920	oh yes papa yeah what is it moment mama said to tell you the pancakes are ready
262920	270920	well I can't stop now I'm being creative I'll eat later oh really yes anything else
270920	275920	yeah no I thought you said something
281920	285920	moment wait I'm coming
290920	295920	that was really good moment mama I'm going out I'm coming
295920	302920	no you can't snuffkin and I are going on an adventure and it could be dangerous
306920	312920	hi snuffkin hello movement didn't think you were coming sorry I'm late what's that
312920	319920	a leaf boat look it sails on the river just like a real one
319920	324920	I bet it goes all the way down to the sea and maybe even to some foreign lands
324920	330920	gosh snuffkin I'd like to do that one day let's go then shall we little my wanted to come
330920	337920	but I told you it was too dangerous hmm perhaps it wasn't the best thing to say look
337920	363920	I'm not climbing up there well I am wouldn't you like to keep me company instead look
363920	368720	there's a cave just a little bit further along this path why don't you two girls wait for a
