start	end	text
0	20800	here they are for one and all the movements are about to come on and sit down here with
20800	33040	me here for you on your TV they are the movements they are the movements so come with me give me your hand
33040	42000	I'll take you up to a moment land you can fly just like a bird sing that song ever there with the
42000	56640	movements there was the movements there was the movements there was the
72000	102000	La la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la
102000	132000	La la la la la una la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la
132000	136000	And you know how hungry the sea air made you all last time we went out on a boat.
136000	138000	You'd have been glad of food then.
138000	141000	You got to rough it a bit if you want an adventure.
141000	144000	Yes, but it will be more fun with coffee and pancakes.
147000	149000	Aren't you two ready yet?
158000	160000	Hello, Mummin!
161000	163000	Hi, Snorgvagan!
174000	176000	Must you use that ladder?
176000	177000	I'm all right.
177000	180000	Mummin, you're going to hurt yourself one of these days.
180000	182000	It's good practice. It's Snorg coming with us.
182000	186000	He says he hasn't got time for sailing boats at the moment.
187000	191000	I'd much rather a real sailing boat than a paper flying ship any day.
195000	197000	Are Mumma and Papa ready yet?
197000	199000	They're packing up half the kitchen.
199000	201000	Oh, it's too full.
203000	205000	Have we got to take all that with us?
205000	209000	Mumma thinks it's better to be safe than sorry and she's usually right.
209000	212000	Tell me, Mummin, where exactly are we going?
212000	214000	We haven't decided yet.
214000	216000	That's right. Wait and see.
216000	218000	Let's see.
242000	244000	Mr. Hamulin?
245000	248000	Have you found a rare plan for your collection yet?
248000	252000	Unfortunately not. There are lots of these in Mummin Valley already.
252000	254000	Goodness, where are you taking all that?
254000	256000	We're going sailing.
256000	259000	Have exciting, charting new seas and exploring desert islands.
259000	260000	Never know.
260000	264000	If I help you load up the boat, can I please come with you?
275000	277000	Captain the bridge!
277000	280000	Man the yard arm!
280000	281000	Hankers away!
281000	283000	Sailors beware!
283000	285000	Spikes the manbrace!
285000	287000	All hands on deck!
287000	289000	Full speed ahead!
289000	292000	Hey, Sniff. Any sun in the movements?
292000	293000	Not yet.
293000	295000	It's a great day to go sailing.
295000	297000	I wonder where we're going.
297000	299000	I don't have any idea.
299000	302000	Hmm, I don't actually like sailing much.
302000	304000	Do you get sick?
304000	305000	Well, not really sick.
305000	307000	It's just that I can't swim.
307000	311000	And if it's rough, it frightens me and I panic a bit.
311000	313000	It looks like it's going to stay calm.
313000	315000	So don't worry.
317000	320000	Right, that's the lot.
320000	322000	Now all aboard.
322000	327000	Mama, little Mai, Sniffkin, Mummin, Snork Maiden,
327000	329000	and Mr. Hamulin, of course.
329000	331000	Isn't he a bit old for adventures?
331000	335000	Not at all. No, Mummin Papa has promised to find a deserted island
335000	337000	where I shall search for rare plants.
350000	353000	Come on, Sniff, hurry up!
353000	355000	There's no rum.
356000	359000	Don't be silly, Sniff. Of course there is.
361000	363000	It looks very full, almost thinking.
363000	365000	There's no way this boat could sink.
365000	367000	Now come on, get him.
371000	372000	Really?
372000	374000	I promise it'll be all right.
374000	375000	Won't it, Papa?
375000	378000	Well, if it stays like this, it will, Mummin.
379000	381000	I'll come next time.
381000	383000	Let's go, Mummin Papa.
383000	385000	He's just a scaredy cat.
387000	389000	We'll go without you then, Sniff.
389000	391000	I think that will be best.
391000	394000	Anyway, someone had better stay and look after Mummin House,
394000	396000	and it might just as well be me.
396000	398000	That's very thoughtful of you.
398000	401000	There's a pancake on the kitchen table that you can have for lunch.
401000	404000	Thank you, Mummin, Mama. Have a nice trip.
409000	411000	I wish Sniff had come.
411000	413000	He's a big softy.
414000	416000	Well, he's not very good at swimming,
416000	418000	and he doesn't eat rather a lot.
418000	419000	What?
439000	442000	This is the life, isn't it, Mama?
442000	444000	It certainly is, dear.
449000	451000	Oh, look, not a breath of wind.
451000	453000	Shall I start rowing, Papa?
453000	455000	Yes, you'd better get Sniffkin to help you.
455000	457000	Aye-aye, Captain.
459000	461000	It's hardly moving.
461000	463000	You'll have to do better than that.
463000	465000	We're doing our best.
465000	467000	You two would be useless as Gally's slaves,
467000	469000	and you'd have to do your best to help them.
469000	471000	We're doing our best.
471000	473000	You two would be useless as Gally's slaves,
473000	475000	and you'd have to do your best to help them.
476000	478000	You two would be useless as Gally's slaves.
478000	481000	It's good that we're not then, isn't it?
481000	483000	So then, what's your excuse?
483000	485000	It's not easy rowing against the tide.
485000	487000	You try it.
487000	491000	No, dear, at this rate, I should be lucky to find one rare plant.
491000	495000	Well, Mr. Hamlin, you could always try collecting some seaweed instead.
495000	497000	There's plenty of that.
497000	499000	I have heard tales that if you whistle,
499000	503000	those who perished at sea will send you a wind.
503000	506000	Land! Hoi! Look, Moomin, Papa!
509000	511000	That's too small to be any good.
515000	517000	You're right.
529000	532000	Hey, look, Papa. We're moving again.
532000	534000	The tide's turned and the winds up.
538000	540000	What a beautiful island!
540000	543000	And a perfect place to land, too.
543000	546000	Oh, I bet this place has got some rare plants.
546000	550000	Be careful when you explore. There could be wild animals there.
550000	554000	Now, if someone will go and collect some wood, I'll get a fire started.
554000	558000	I've had none of you will say no to coffee and pancakes.
558000	562000	Watch me, you land lovers. I'll go and pull the boat ashore.
576000	578000	Hmm, I suppose you're right. This will come in handy.
578000	582000	As I said, Papa, it's always better to rough it with a little bit of luxury.
582000	586000	I wonder if we're the first to set foot on the island.
588000	590000	Thank you, children.
590000	592000	Is there anything else you want us to do?
592000	594000	No, I don't think so.
594000	596000	Is it okay if I go explore the island?
596000	598000	Of course, off you go.
598000	600000	Coming, snort, Maiden.
600000	602000	I'll stay and help Moomin Mama with the cooking.
602000	605000	Mama, you said we needed firewood. Is this enough?
605000	607000	My goodness for a lot.
612000	615000	You know, I don't think anyone lives on this island.
615000	619000	I haven't seen anyone unless they're hiding in the bushes.
619000	621000	I've seen someone.
621000	623000	Oh, yeah? Who?
623000	625000	Well, they weren't very big.
