start	end	text
0	21000	Here they are for one and all, the movements are about to come, come on and sit down here with me.
21000	29000	Here for you are your TV, there are the movements, there are the movements.
29000	36000	So come with me, give me your hand, I'll take you up to a moment land.
36000	49000	You can fly just like a bird, sing that song ever, there were the movements, there were the movements, there were the movements,
49000	59000	there were the movements, there were the movements, there were the movements.
79000	89000	There were the movements, there were the movements, there were the movements.
110000	119000	With all the excitement of that night, sniffed decided not to go home and was sharing movement's bed.
119000	123000	Snuffkin, as always, preferred to sleep in his tent.
123000	131000	You remember what happened, the horrible grok coming after thingamy and bob and everything freezing?
132000	138000	For a moment however, the night wasn't quite over yet.
138000	148000	Lonely papa, help me, the grok is after me!
148000	158000	I can't run anymore!
158000	178000	Run anymore!
178000	181000	Why am I on the floor?
181000	192000	Sniff?
192000	194000	Morning Mama!
194000	197000	Good morning Moomin, is sniff up yet?
197000	200000	You're joking, where is thingamy and bob?
200000	205000	They haven't stirred yet, the poor things are tired out.
205000	207000	Papa's not still asleep is he?
207000	212000	No, he's looking at my rose bushes.
212000	214000	Are they okay papa?
214000	216000	No, frozen to death and look.
216000	217000	What?
217000	225000	That's where she was standing over there where the grass is dead.
225000	230000	She must have been real cold to freeze the roses, what a shame, they were very pretty.
230000	235000	There's not much left of them now, we'll have to grow some new ones.
235000	237000	I dreamed that she was chasing me papa.
237000	242000	Oh don't worry Moomin, I think she's only after thingamy and bob.
242000	245000	So they're not fugitives from justice after all?
245000	250000	I have a feeling that they would prefer that moment.
256000	259000	Aren't thingamy and bob coming down?
259000	262000	Yes, if they could have breakfast in their room if you didn't mind.
262000	264000	Well, what did they tell you?
264000	265000	What?
265000	267000	About why the groke is chasing them.
267000	272000	Oh, they just looked terrified and wouldn't say anything about her at all.
272000	275000	You know, we really ought to find out why.
275000	277000	Yes, you're right.
277000	281000	Moomin Mama, why don't you take their breakfast up and see if they'll tell you anything
281000	284000	if any of us can get it out of the meal can.
293000	297000	Who's that?
297000	302000	It's only me, I've brought you both a nice breakfast.
303000	306000	Come here.
320000	323000	Well, what did they say?
323000	327000	It seems that the groke is after the suitcase, not them.
327000	331000	I wonder what's in it, perhaps they've stolen her mummy as well.
331000	335000	And they also said that it did use to belong to her.
335000	338000	Oh dear, if they've stolen it.
338000	340000	I don't know about that.
340000	344000	I asked them how they got it, but they wouldn't say another word.
344000	345000	Well, this is too much.
345000	347000	We could be harboring criminals.
347000	351000	I know they don't look like it, but you never know, do you?
351000	353000	You can ask the groke!
353000	355000	Don't shout.
355000	356000	No, that's no good.
356000	359000	We don't want to come back here most definitely.
360000	363000	Let's ask the police inspector to question them.
363000	365000	We don't want to get the police involved.
365000	367000	Well, you'll suggest something, Anne!
367000	370000	Quit shouting, sniff!
372000	376000	Look, why don't you just wait for them to tell you a moment?
376000	380000	I know it seems strange, but I've noticed that if you pretend not to be interested,
380000	383000	people can't wait to tell you those secrets.
383000	387000	They told Mama about the suitcase, but they wouldn't say anything to Papa.
387000	389000	You know something, Moomin?
389000	391000	They might open up to Snork Maiden.
391000	393000	She's someone more their own age.
393000	395000	You could be right.
399000	401000	Hey, Snork Maiden!
401000	402000	Where are you going?
402000	404000	Moomin house.
404000	408000	I'll come with you, but I thought you were living there.
