start	end	text
0	21000	Here they are for one and all, the movements are about to come, come on and sit down here with me.
21000	29000	Here for you are your TV, they are the movements, they are the movements.
29000	35000	So come with me, give me your hand, I'll take you up to a moment land.
35000	46000	You can fly just like a bird, sing that song ever, there were the movements, there were the movements,
46000	58000	there were the movements, there were the movements, there were the movements, there were the movements.
76000	106000	Ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba
106000	136000	ba-ba-ba-ba-ba-ba-ba-ba-ba-ba
136000	139600	Tiki's arrival was very welcome.
139600	141340	Good evening, Mom.
141340	145280	Tiki, come in.
145280	147680	Mama, Tiki's here.
147680	150280	Come on in, Minnie, a neat Moman.
150280	153600	Uh-oh.
153600	155280	Is there someone with you?
155280	157400	Yes, I brought my friend, Minnie.
157400	162160	Minnie, don't be shy.
162160	163280	Well, there's no one there.
163280	164360	Yes, there is.
164360	166200	You just can't see her.
166200	167640	Really?
167640	172280	Yes, I'm afraid she's very, very shy.
172280	174480	I'll leave the door open for you, Minnie.
174480	176320	Come in when you're ready.
176320	178640	She'll get soaked if she stays out there.
178640	182680	Maybe that doesn't matter very much if you're invisible.
182680	183520	Oh.
186440	188320	Tiki, how nice.
188320	193120	What is everyone looking at?
193120	203920	About Minnie, you know sometimes when people are very frightened, they can become invisible
203920	206160	to the people around them.
206160	211720	Poor Minnie, she's looked after by an aunt who doesn't like her and is really horrible
211720	215840	to her and who only does it because she thinks it's her duty.
215840	219560	It wouldn't be so bad if she just got mad and yelled at her.
219560	223040	But she's cold and sarcastic, which is much worse.
223040	227640	She doesn't care if Minnie is unhappy and gives her horrible jobs.
227640	229680	What's sarcastic?
229680	231760	Uh, let's see.
231760	234000	Suppose you tripped and fell over.
234000	235880	What would Moman Mama say?
235880	238760	Well, she does mean if I'd hurt myself.
