start	end	text
0	18320	Here they are for one and all, the movements are about to come.
18320	26560	Come on and sit down here with me, they're here for you on your TV, they are the movements,
26560	34880	they are the movements, so come with me, give me your hand, I'll take you up to a movement
34880	44000	land, you can fly just like a bird, sing that song ever, there were the movements, there
44000	55520	were the movements, there were the movements, there were the movements, there were the movements,
55520	80240	there were the movements, there were the movements, there were the movements,
85520	110240	there were the movements, there were the movements, there were the movements,
110240	134960	there were the movements, there were the movements, there were the movements,
134960	161680	there were the movements, there were the movements, there were the movements,
161840	177120	that's the invisible child, I wonder what she really looks like,
178560	184640	oh well good morning everybody, morning lazy bones, we've been up for hours and hours,
185200	191360	we're going to play hide and seek in the woods, great, nanny are you all right, yes thanks,
193280	198320	this is dumb if I could see your face I wouldn't have to ask, doesn't help with you sniff you
198320	223280	all with ask silly questions it's a bit big for hide and seek isn't it but that's
223520	233840	so good about it okay this is a good place to start but we've got a new rule for the game once
233840	238880	you found somewhere to hide you've got to stay in the same place no moving about anyone do you
238880	247360	understand nanny right you're to go first sniff why isn't always me first we'll have a practice
247360	254080	for nanny's sake show her what to do I didn't seek as an easy game not for nanny it isn't she's
254080	261040	never played it before what never ever no and not just hide and seek she hasn't played any games at all
261040	267840	not even when she was visible no nothing oh that's terrible so will you go first no I won't
268560	274400	oh okay I'll go first then I'll count to 10 slowly so you'll have plenty of time to find
274400	299120	somewhere one two three go on nanny hurry up for five I can still see you six
304400	313120	seven
321440	328160	hello nanny don't be frightened why don't you hide in that bush over there he'll never find you
328480	333280	I'm coming thank you
348000	350960	oh my damn god you sniff
358160	364960	c'mon
370560	373360	yes
388160	390160	MMM?
390160	392160	MMM?
392160	394160	HMM?
394160	396160	FHHHHH?!
396160	398160	MMM?
398160	400160	HMM?
400160	402160	HMM?
402160	404160	Got you, Little Mike!
404160	408160	No! I'd like to know where Ninny's hiding!
411160	413160	Oh, look!
413160	415160	Oh!
418160	425160	That! Come out, Nanny. I've got you. That was a good place. But I saw your ribbon.
425160	431160	Oh! Now for snorkemaiden. She's always easy to find.
434160	437160	Ha! That's only because she wants to be found!
437160	440160	Found you snorkemaiden!
440160	442160	Waaaaaannnnnnnnnnnnnnnnnnnn,
442160	454160	Two, three, don't wait, nanny, this is my boy.
456160	459160	Four.
463160	466160	Hey, nanny, I'll show you a good place.
466160	468160	Just come with your uncle stinky.
472160	484160	Now don't worry, no one will find you there, it opens up once you're inside.
484160	487160	Come on, it's a bit steep, I'll help you.
488160	491160	Oh, stop!
501160	503160	Right, that should keep you quiet.
503160	505160	You're a bit too visible at the moment.
505160	506160	Oh, let me out.
506160	510160	But I'm sure if you stay here until tomorrow, no one will see it all.
510160	514160	Please don't leave me here, please.
514160	516160	No, it's...
524160	527160	That's it, now tomorrow we'll hit the bank.
536160	538160	Let me out.
538160	540160	Please let me out.
541160	545160	I'm very glad I thought of bringing nanny here.
545160	547160	It's nice to have her here too, Tiki.
547160	549160	She's no trouble at all.
549160	554160	You're all pretty eccentric, and it might be just what she needs to make her want to be seen again.
554160	557160	Oh, and you're very kind, of course.
557160	561160	Well, thank you, I think I suppose we should be flattered, shouldn't we?
561160	563160	Oh, yes, definitely.
563160	566160	She started to talk, but her voice is very weak.
566160	568160	You have to listen very carefully.
569160	572160	Has it always been like that, or just since she was invisible?
572160	575160	I'm not sure, I don't think it was like that before.
575160	580160	Lots of people manage very well without using their heads, so I'm certain nanny will be all right.
580160	583160	Yes, and I'm glad she's got movement in the others to play with.
583160	586160	She's never had anybody before, you know.
586160	589160	I think she'd find it a bit difficult to Tiki.
589160	593160	Well, Mum and Mama, I think that all she needs is something to shock her out of it.
593160	595160	Huh, got you a little, my.
596160	599160	Oh, that bush was too prickly anyway.
599160	601160	I expect I'm the last one, hey.
601160	603160	No, I haven't found nanny yet.
603160	604160	Nanny?
604160	606160	I didn't think nanny would hide so well.
606160	608160	Any luck, Sniff?
608160	610160	There's nowhere else to look, Mum and.
610160	613160	Perhaps she's lost or fallen or hurt herself.
613160	616160	I've looked absolutely everywhere.
616160	618160	I bet she's invisible again.
618160	620160	That's why I can't find her.
620160	622160	I bet Sniff hasn't looked everywhere.
622160	624160	She can't be far.
624160	626160	Do you know where she is, Mum?
626160	628160	No, I haven't seen her at all.
628160	631160	Not since we started.
631160	632160	Nanny!
632160	634160	Come on, we're going home.
634160	636160	We've finished playing.
636160	637160	Nanny!
637160	639160	Oh, my goodness, where could she be?
639160	640160	Nanny!
640160	642160	It's your turn, Sniff, so you've got to find her.
642160	643160	Nanny!
