start	end	text
0	21000	Here they are for one and all, the movements are about to come, come on and sit down here with me.
21000	29000	Here for you are your TV, there are the movements, there are the movements.
29000	36000	So come with me, give me your hand, I'll take you up to a movement land.
36000	46000	You can fly just like a bird, sing that song ever, there were the movements, there were the movements,
46000	58000	there were the movements, there were the movements, there were the movements, there were the movements.
76000	106000	La-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la
106000	136000	Snort Maiden is running as if the groke is chasing her. I don't think I've ever seen her run so fast. I wonder what's the matter? Perhaps something terrible has happened.
136000	166000	Now come down and tell us what's wrong. My brother's on the cliff and then he's about to jump off. What snort? Are you sure? He says nothing will prevent him doing it. Oh, police, you must stop him, moment. Did you say that you wanted me to help you with something snort Maiden? Yes, I want you to stop snort jumping off the cell side of the cliff. Oh dear, I never thought he was the type. He says it's a test flight.
166000	196000	Oh. Now what? A test flight, did you say? Snort Maiden, do you mean that he's finally finished building his flying ship? No, only the blueprint. At least I think that's all. He doesn't tell me. Well, that's a start. He built a small model of the flying ship's wings and they don't look strong enough to carry anyone. And now he's going to try them out himself to see if they'll work. And I know they won't. They'll break, you know. Now wait a minute, Snort Maiden. Slow down and let me think.
196000	226000	He's made the wings from the blueprint of the flying ship. Well, his plans are always very accurate. Oh, Papa, you've got to stop him. The cell side, Papa. Yes, I know the highest and steepest one of all. Oh, moment, Papa, there must be something we can do. Yes, I'm sure there is. Right. Hurry, everybody. There's no time to lose. Come on. Oh, thank you, moment, Papa.
226000	233000	…No! Go!
256000	273000	A snork? Wait! Wait! Please! Stop snork, don't do it! Why have you brought everybody
273000	278000	here, snork maiden? They've come to beg you not to do it. You're too young and brilliant
278000	284000	for such a tragic end. Thank the bubble we were in time. As a matter of fact, you weren't.
284000	291000	Oh, really? It looks very dangerous to me, snork. Well, it's not at all moving, Papa. I made these wings
291000	300000	myself. They're perfectly balanced. Well, yes, I'm sure they are. The blueprints are detailed and precise. They're quite safe.
300000	305000	Tell me, snork. Why did you stop on the edge like that after running down the slope?
305000	312000	I was measuring the right length from my approach run. Don't do it, snork. I don't want to lose my only brother.
312000	320000	Don't make such a fuss, snork maiden. Do you really think it's safe? Of course it is. You don't see birds falling out of the sky, do you?
320000	326000	Well, at least do your test flight just above the ground so that if something happens to go wrong, you'll hurt yourself.
326000	334000	I've already done that from the roof of our house and it worked beautifully. Did you see him? No, I didn't see anything.
334000	340000	Of course you didn't. Do you think I let a wimpy little sister watch me? What's that supposed to mean, snork?
340000	346000	Just that I don't want you sticking your big nose into my affairs all the time. I don't like it, and there's nothing to do with you.
346000	352000	Yours is just as big and I don't want to lose you. Don't go on about losing me. Why not?
352000	354000	Come on now, you two. Stop it.
354000	360000	Hey! Oops! That was close. Snork maiden, I don't think your brother is going to be stopped.
360000	364000	Oh dear, oh dear. You're very brave, snork.
