start	end	text
0	21000	Here they are for one and all, the movements are about to come, come on and sit down here with me.
21000	29000	Here they are for you on your TV, they are the movements, they are the movements.
29000	36000	So come with me, give me your hand, I'll take you up to a movement land.
36000	46000	You can fly just like a bird, sing that song ever, there were the movements, there were the movements,
46000	58000	there were the movements, there were the movements, there were the movements.
77000	104000	Captain Blood and his band of feared pirates had sailed the seas for many years,
104000	107000	but never could he remember a storm such as this.
107000	113000	He began to wonder whether his ship could withstand the battering and buffeting of the angry waves for much longer.
113000	119000	Alas, it is now too late to launch the lifeboat he thought, as he lashed himself to the wheel.
119000	121000	His voice rose against the wind.
121000	128000	Captain Blood can think of no better death than to journey to the bottom of the sea, losing the last battle against his old adversary.
129000	135000	But if only I could see the life of the young and beautiful princess who I rescued from the dupe scallion before a ciker,
135000	143000	I care not about the three chests of doubloons, two chests of jewels and 36 bales of the richest and most colorful silks,
143000	148000	but oh must she too perish in this terrible storm.
148000	150000	Is it a good book, Moonman?
150000	152000	Mmm, it's great.
153000	156000	What a terrible storm, it's not easing at all.
156000	157000	No.
157000	160000	I'm so glad I'm not on my own in a night like this.
160000	162000	I feel safe in Moonman's house.
163000	165000	Oh, what was that?
165000	167000	It sounded like a tree breaking.
168000	169000	Hey, Moonman.
169000	171000	Mmm, why don't you read your story out loud?
171000	172000	Oh, okay.
172000	174000	But can I start where I got to?
174000	180000	As long as you tell us what's happened before, we won't know what it's about, and we might have missed something important.
180000	182000	Just the main points will do, Moonman.
182000	184000	Well, there's this brave pirate.
184000	186000	It's so much fun when someone reads out loud.
186000	188000	Go on, Moonman.
188000	189000	Captain Blood.
189000	193000	And he and his men have captured a rich and royal gallery.
193000	197000	They've taken lots of gold, silver, and jewels and things.
197000	199000	And oh, yes, a princess too.
199000	201000	It's exciting, isn't it?
201000	202000	Yes, it is.
204000	209000	The storm that rose that night was so violent that at first,
209000	214000	it seemed inevitable the ship found before the waves had engulfed it.
214000	217000	Not bad, if I say so myself.
217000	222000	Captain Blood saw that the poor princess had indeed swooned.
222000	227000	With only the rats for company, how frightened she must have been down in the old.
227000	233000	The noise of the storm was deafening as the ship was thrown above under swirling sea.
233000	237000	The captain's brave heart went out to his young and beautiful captain.
237000	239000	Could I have some tea, Mama?
239000	241000	Of course, dear. Would you like me to bring it up to you?
241000	243000	No, thanks. I've finished for the day.
243000	246000	That's good. Shall we all have some tea and lemonade?
246000	249000	Yes, please. I'm very thirsty.
249000	251000	You read very well. Thank you, Moonman.
251000	253000	Great story, isn't it?
253000	255000	Could I have some strawberry juice, please, Mama?
255000	258000	Snork Maiden, when is your brother coming home?
258000	260000	Oh, he didn't say exactly.
260000	262000	But in a couple of days, I should think.
262000	266000	It was a good idea to let Snork make him stay while he was away.
266000	268000	Wasn't it, Papa?
268000	273000	Yes, it wouldn't be very nice to be all on your own at night in a storm like this.
273000	275000	Not at all.
289000	291000	She seems to be sinking.
291000	294000	She won't be able to hold out much longer.
294000	296000	We must get to the crew without delay.
296000	299000	How could we launch a boat in this weather?
299000	300000	Any survivors?
300000	303000	We haven't found anyone yet.
303000	306000	So what about further along the coast?
306000	309000	Any reports of survivors turning up?
309000	312000	No, I'm afraid not, Inspector. We haven't heard anything.
312000	314000	Well, tell me if you do.
314000	315000	Ah, Inspector?
315000	316000	Yes.
316000	319000	It seems to me it was a pirate ship that sunk.
319000	321000	What did you say?
322000	326000	Well, I'm pretty sure I saw the skull and crossbones flying from the mast.
326000	330000	And I think I caught sight of a cannon, but I could have been mistaken.
330000	331000	You must be joking.
331000	332000	I never joke.
332000	334000	I can't see anything.
334000	338000	It's too far away to make out any sort of skull and crossbones.
338000	339000	Try this.
339000	341000	Ah, you've got a telescope.
341000	344000	Now why didn't you let me have this before? It might have helped.
352000	353000	Oh!
361000	363000	Ah, that's it. She's gone.
368000	372000	I suppose that there aren't many pirate ships around today.
372000	376000	Any that are afloat must be so old that they'd probably break up easily.
376000	381000	That's if it was a pirate ship, but it sure looked like one right enough.
381000	384000	Nothing's been washed up on the shore yet.
384000	386000	No, not a thing.
389000	393000	Isn't it strange that I was reading that book about pirates yesterday?
393000	396000	They probably wouldn't be quite so romantic in real life.
396000	400000	Well, in the book they were really great. I wish I'd been one.
400000	401000	A pirate?
401000	403000	Yeah, what could be more exciting?
403000	404000	You can't mean that.
404000	410000	Oh, yes, I do. To sail across the seven seas, the holds of your ship's crowned with treasures.
410000	414000	But you'd have to steal the treasure from somebody first, so, Moomin.
414000	417000	Well, yes, all right. I suppose so.
417000	420000	But I wouldn't steal anything from anyone.
