start	end	text
0	21000	Here they are for one and all. The movements are about to come. Come on and sit down here with me.
21000	29000	Here for you are your TV. They are the movements. They are the movements.
29000	35000	So come with me. Give me your hand. I'll take you up to a movement land.
35000	43000	You can fly just like a bird. Sing that song ever. There were the movements.
43000	58000	There were the movements. There were the movements. There were the movements.
73000	93000	There were the movements. There were the movements.
93000	108000	For a whole week, snorkemaiden had been curled up on the sofa, reading fairy tales.
108000	119000	It's a lovely day and at last, movement is persuaded to come out for a walk in the lonely mountains.
119000	130000	Oh, it's beautiful up here. Aren't you glad you came now? This is much better than fairy tales, isn't it snorkemaiden?
130000	141000	Oh, look, movement. It's Adelvice. No, it isn't. That doesn't grow here at all.
141000	147000	I'm sure it is. I know what it looks like. I'm sorry, but it's not.
147000	155000	Oh, it's just like in Heidi. No, it's not. It's just a daisy. Oh, come on. I want to pick it.
155000	162000	Oh, no, it's too dangerous. I know then. You can do it. You're my boyfriend, aren't you, movement?
163000	171000	Well, I suppose we could climb down there, but I promise you it's not Adelvice. That only grows in the Alps and there are hundreds of miles away.
171000	189000	I know it's Adelvice. Be careful. They don't care about danger in fairy tales. That's why they call them fairy tales, silly.
189000	193000	Fairy Princess, please accept this, my humble offering.
193000	199000	Thank you, Brave Knight. You are right, movement. This isn't Adelvice. See, I told you...
199000	205000	It's gonna be hard to get down from here, you know? Can't we go back the way we came?
205000	213000	Well, I think it'll be easier to try to get to that path. If you say so...
214000	222000	It's nearer anyway, and better than going up. I'm surprised you're such a good climber.
222000	225000	Oh, Royalty is good at practically everything.
225000	240000	It's not made of. It's not made of.
240000	249000	It's not made of.
249000	264000	Let me see six petals. What was that, a giant snowball? It can't be, it isn't winter.
264000	270000	Well, nothing of interest to me. Now, where was I?
270000	274000	We start hemulating. Has Snorkmaiden just gone past you?
274000	278000	Snorkmaiden, no, I've seen going past. It's a very large snowball.
278000	280000	That was Snorkmaiden.
280000	284000	But she's not made of snow?
284000	288000	Stop! Snorkmaiden, stop!
295000	305000	Snorkmaiden, snorkmaiden!
305000	312000	Oh, I'll praise the boobah. She's still breathing. She's just knocked herself out.
318000	320000	Oh, Mum and what's happened to her?
320000	322000	She's unconscious.
322000	324000	What are you trying to do?
324000	327000	I want to get her home to Mama.
327000	330000	Oh, difficult. She should lose a bit of weight.
330000	335000	Perhaps she'd come around if we splashed cold water on her face.
335000	338000	Oh, there's nothing to fetch it in.
