start	end	text
0	21000	Here they are for one and all, the movements are about to come, come on and sit down here with me.
21000	29000	Here for you on your TV, they are the movements, they are the movements.
29000	36000	So come with me, give me your hand, I'll take you up to a movement land.
36000	41000	You can fly just like a bird, sing that song ever.
41000	49000	There were the movements, there were the movements, there were the movements,
49000	58000	there were the movements, there were the movements.
79000	92000	There were the movements, there were the movements, there were the movements.
109000	129000	Woman Valley is enjoying another still peaceful summer's day.
129000	135000	However, this lazy lifestyle, no matter how pleasant it might be, does not suit everyone.
135000	141000	Oh, yes.
141000	144000	Would you like a cup of coffee, dear?
144000	147000	Yes, I think I need one, Mama.
147000	149000	Oh dear, is it your memoirs?
149000	150000	I'm stuck.
150000	152000	Ah, can I help?
152000	154000	How can I create in this?
154000	155000	In what?
155000	159000	In this sleepy atmosphere, and I've also come to a boring part.
159000	160000	When was that?
160000	162000	The time I wrote poems.
163000	166000	Were they any good?
166000	167000	No.
167000	169000	Well, miss that bit out then.
169000	171000	I can't.
171000	176000	I must put it down for posterity, it is my duty.
176000	182000	But how can I get inspiration here in this place where nothing ever happens, nothing ever happens at all?
182000	185000	Oh, I think this means another adventure.
185000	193000	Yes, Mama, but I need it to be big, exciting, and frightening.
193000	195000	Mama, what's the matter?
195000	196000	Are you all right?
196000	200000	Your father says that because nothing ever happens here, he can't write.
200000	203000	So I'm looking for an adventure for him.
203000	204000	Can you think of anything?
204000	207000	He wants it to be big, exciting, and frightening.
207000	209000	Does he want something really exciting?
209000	212000	Yes, dear, I'm afraid so.
213000	215000	I think I could manage that.
224000	227000	That looks like the footprint of a huge monster.
237000	241000	Oh, it's a good feeling giving others a bit of excitement.
243000	245000	Just a couple more.
255000	260000	I'm praise the booboo I don't have to do modest work very often.
260000	265000	Phew, that was harder than I thought.
265000	269000	Oi, sleepy heads.
269000	271000	Wake up, everybody!
271000	274000	Mom and Papa, quickly get up!
274000	276000	Mom and Mama, a monster!
276000	279000	You've been visited by a monster!
279000	281000	Wake up before you eat and alive!
281000	284000	Come on, hurry, hurry!
285000	288000	My, what huge tracks.
288000	292000	Ah, that should keep them guessing for a while.
294000	298000	Hmm, it could be a monster from the depths of the ocean.
298000	300000	Something's not right here.
300000	303000	Don't you think it's a bit odd that it came directly to Moome House?
303000	304000	Yeah.
304000	307000	Well, look at the footsteps. They go in a straight line.
307000	311000	Someone must have told it to go to Moome House.
313000	315000	And they're only going one way.
315000	318000	Look, there are tiny footsteps going back to the sea.
318000	321000	Oh, Mama, my monster must still be here then.
321000	324000	Oh, well, not necessarily.
324000	327000	Retracing one's own footsteps is the sign of an advanced intelligence.
327000	330000	Stepping back exactly the way you came.
330000	333000	The tough question is, why would the monster do that?
333000	337000	One is led to believe that it wants us to think it's still here.
337000	341000	Well, in fact, it has gone back to wherever it came from.
341000	344000	Fiddle battle, as my dear mother would say.
344000	347000	But why would it want us to think that, Papa?
347000	349000	It's a spy.
349000	350000	Oh, it's a spy.
350000	351000	Something it shouldn't.
351000	355000	It'd hardly be a good spy if we knew they have to sneak in and out.
356000	360000	I think it's still here. I can feel it. You know what I mean?
361000	363000	Perhaps tonight.
363000	365000	Tonight? What about tonight?
365000	369000	That's when they'll attack. It's gone back to give its report.
369000	371000	How do you know that, Papa?
371000	375000	Well, obviously, that's why it still wants us to believe it's here.
375000	376000	Mama, Mama!
376000	378000	Yes, what is it, Moome?
378000	380000	Something terrible is going to happen.
380000	382000	A monster is going to attack us tonight.
