start	end	text
0	21000	Here they are for one and all. The movements are about to come. Come on and sit down here with me.
21000	29000	Here for you on your TV they are the movements. They are the movements.
29000	41000	So come with me give me your hand. I'll take you up to a moment land. You can fly just like a bird. Sing the best song ever.
41000	58000	There were the movements. There were the movements. There were the movements.
71000	91000	There were the movements. There were the movements.
102000	108000	It was the end of summer but still every day seemed hotter than the last.
108000	114000	Movement Valley had had no rain for weeks and finally the river had dried up.
114000	118000	Papa says this weather is a catastrophe.
118000	119000	Oh not really.
119000	123000	But it is. He says movement Valley will turn into a desert if it carries on.
123000	126000	I don't think that will happen movement.
126000	130000	Papa can't ever remember it so hot even the river has dried up.
130000	134000	No that does worry me. I can't fish anymore.
134000	140000	In all my travels I found that droughts like this are always followed by a real heavy downpour.
140000	149000	Well it's too hot for me anyway.
150000	159000	Oh it's so hot I can't think.
159000	167000	I can I can always think of something.
168000	188000	Well well even the weeds are wilting.
188000	190000	The sea never dries up does it?
190000	193000	Of course not stupid wherever the fish go.
193000	203000	I'm going swimming.
204000	227000	Here you are.
227000	237000	Watch this.
258000	267000	Ah!
267000	277000	Ah!
278000	287000	Ah!
287000	294000	Ouch that hurt.
294000	296000	What's this stupid box doing here?
296000	299000	I think it's floated from foreign lands.
299000	301000	What's it got in it?
301000	303000	Perhaps it's full of priceless jewels.
304000	307000	No it wouldn't float so high in the water if it was.
307000	309000	A tiara packed in wood shavings.
309000	312000	I can use a new comb too.
312000	314000	What have you found you too?
314000	315000	I treasure it.
315000	317000	No we don't think so. It's not heavy enough.
317000	319000	But you never know snork maiden.
319000	321000	Let's open it and see.
321000	329000	Come on Slays push me a shore.
329000	331000	Perhaps it's gold nuggets in here.
331000	339000	Are diamonds or something to eat?
339000	347000	What is this?
347000	349000	Well seeds maybe.
349000	353000	What sort of seeds?
353000	358000	Well at first glance I'd say they might be tropical plants.
359000	360000	Really?
360000	362000	What plants are tropical?
362000	364000	Well species like banana or mango.
364000	366000	Banana and mango.
366000	372000	Well I haven't done a lot of research on tropical plants so I can't be sure but they do look like it.
372000	375000	I know mama. Why don't we plant them?
375000	377000	Good idea woman.
377000	380000	The thing is we don't have a tropical climate.
380000	382000	I'm afraid they wouldn't grow here at all.
382000	384000	Let's plant them shall we?
384000	387000	They won't bear any fruit so don't get too excited.
387000	391000	Oh well it seems tropical enough to me Mr. Hanuman.
391000	393000	At least we can try can't we?
393000	396000	I want to see what papaya looks like and ugly fruit.
396000	399000	I want mangoes growing all around my banjo window.
399000	401000	Let's plant them shall we?
403000	408000	I tell you they're strictly tropical they won't take root at all.
417000	424000	It certainly seems that mama is enjoying herself Mr. Hanuman.
424000	426000	I don't think it'll be much use.
426000	430000	Well perhaps not but it's still worth the fun in trying.
430000	434000	Imagine woman valley a tropical jungle.
434000	435000	Huh huh.
435000	436000	Oh Mr. Hanuman.
436000	440000	Do you think these seeds will grow into real fruit trees?
440000	442000	Let me see.
442000	445000	What have you got here little my?
445000	450000	I could very well be mistaken but I think this one is a mango seed.
450000	452000	Thanks.
452000	455000	And why do you want to know a little my?
455000	459000	Because I'm only growing fruit trees.
460000	462000	Hmm thanks.
462000	465000	And why do you want to know a little my?
465000	467000	Because I'm only growing fruit.
467000	472000	I want to be sure I'm not planning stupid orchids or passion flowers or something.
474000	476000	Mr. Hemuman.
476000	479000	Can you tell me which one of these is banana?
479000	483000	Yeah I'm not really too sure but I think it's this one.
