start	end	text
0	20560	here they are for one and all the moments are about to come on and sit down here with
20560	30440	me they're for you on your TV they are the moments they are the moments so come
30440	37240	with me give me your hand I'll take you up to a moment land you can fly just
37240	44640	like a bird sing that song ever there were the moments there were the
44640	57840	moments there was the moments there were the moments there were the moments
74640	82480	Vah, vva, vva, vva, vva …
82480	92060	Vah, vva, vva, vva, vva …
92060	112980	The rhino and the tigers that stinky set free from the zoo are now living in the jungle
112980	117420	that has grown up around Moomin house and have settled into the restful life of Moomin
117420	118420	Valley.
119420	122420	Hey, have you seen Moomin?
122420	124420	No, you haven't seen him all evening.
124420	125420	Hmm.
125420	129420	I wonder where they got to.
129420	134700	Meanwhile, Moomin and Snork Maiden chased by the snake and are swimming as fast as they
134700	135700	can out to sea.
135700	138700	I can't swim another.
138700	141700	Soon must not wait until you bust.
141700	142700	Hey!
142700	146700	Hey, you there!
146700	151700	Come on, Snork Maiden!
151700	152700	Nearly there!
152700	156620	Look, there's a couple of hippos that come in towards us.
156620	157860	We better get them on board.
157860	158860	That's funny.
158860	162540	I haven't heard about any hippos reported missing from the zoo lately.
162540	173540	Just a bit further, Snork Maiden.
173540	175540	We made it.
175540	178540	I didn't know hippos could climb so well.
178540	181700	Oh, thank you so much.
181700	183780	There was a huge snake chasing us.
183780	186580	Yes, we saw you were lucky we came along when we did.
186580	187900	Thank you for your help.
187900	189380	Who's ship is this?
189380	190380	ours.
190380	191380	We're from the zoo.
191380	192380	The zoo?
192380	195020	Oh, you've got one of the crocodiles.
195020	198060	Yes, and a lot of trouble he gave us as well.
198060	199860	There's another one around here somewhere.
199860	200860	We saw them.
200860	204060	Yes, we know there is, but we haven't been able to find him yet.
204060	205060	Oh, boy.
205060	207780	I wish they'd come as quietly as you hippos did.
207780	208780	Hippos?
208780	209780	Hippos?
209780	211540	Which zoo are you from?
211540	213780	I bet they'd pay well to get you back.
213780	214780	Now look here.
214780	215780	I'm a woman.
215780	216780	Not a hippo.
216780	217780	Are you saying that?
217780	218780	I look like a hippo?
218780	221420	Well, perhaps they don't look exactly like hippos.
221420	224260	No, but they're close enough, Captain.
224260	227060	I'm sure they've escaped from the zoo somewhere, though.
227060	228060	Yes, sir.
228060	230020	We haven't escaped from anywhere.
230020	231340	Certainly not a zoo.
231340	232340	We live in Moomin Valley.
232340	233340	We're Moomin's.
233460	234660	It's all right, Snort Maiden.
234660	236220	I'll not be taken for a hippo.
236220	237940	Come on, let's run for it.
237940	239100	Hey, wait.
239100	241580	There's a nice cozy cage already for you.
241580	242900	Hurry, Snort Maiden.
242900	244660	Ask to them.
244660	245580	Stop them now.
245580	247420	Don't let them get away.
247420	248180	Huh?
