start	end	text
0	18600	Here they are for one and all, the movements are about to come.
18600	26880	Come on and sit down here with me, they're for you on your TV, they are the movements,
26880	29880	they are the movements.
29880	36120	So come with me, give me your hand, I'll take you up to a moment land.
36120	44480	You can fly just like a bird, sing that song ever, there were the movements, there were
44480	55840	the movements, there were the movements, there were the movements, there were the movements,
55840	58840	there were the movements.
85840	99040	Fall has come to movement valley and the memory of sunshine filled ours fades as the days
99040	101840	become shorter and the nights longer.
101840	107040	The wind blows away the falling leaves and the blue skies of summer are now grey and
107040	111040	cloudy, winter is just around the corner.
111040	114040	Snork maiden!
114040	119040	Where are you going?
119040	125040	Oh I'm just taking my brother, his lunch little my, he must have nearly finished the flying
125040	126040	ship by now.
126040	130040	Oh no, not even snork works that quickly.
130040	132040	Well have you seen it?
132040	135040	No I haven't, he won't even let me come into his workshop.
135040	137840	Is he afraid it'll disappear if someone sees it?
137840	142320	He hasn't said why but I suppose all great inventors have to be very careful, someone
142320	145040	might want to steal their ideas.
145040	152040	The woman told me he's dying to have a look at it.
152040	163040	Hey woman, open the door, I've got my hands full, come on quickly.
163040	170040	Look what I've got, it's a regular player.
171040	177040	Oh.
177040	180040	Do you think you can get it working dear?
180040	182040	Oh yes of course mom.
182040	186040	Why do people always give me things that are broken, it'd be nice to have something that
186040	190040	worked for a change.
190040	193040	Movement probably will get it working for you.
193040	198040	My auntie said that the record was alright though it stands music, she's had it for ages
198040	199040	but I've never heard it.
199040	203040	Oh that's nice, it's years since I danced but it seems like only yesterday.
203040	206040	Do you remember what fun it was Papa?
206040	208040	Dancing.
208040	210040	Oh yeah, I see.
210040	213040	Have you fixed it Papa?
221040	222040	Huh?
222040	223040	I can hear music.
223040	226040	Doesn't sound like snuffkin.
229040	256040	Right, have you got the idea now?
256040	258040	Yes I think so.
258040	260040	Me too.
260040	265040	Come on, let's see you then.
265040	268040	What?
268040	271040	Did I do it?
271040	279040	Oh wow.
279040	285040	Look at Papa woman, he's a great dancer.
289040	294040	Well then, can you dance snuff?
294040	296040	I've never tried.
296040	300040	Right, well try now.
301040	306040	Ha ha ha ha ha ha.
306040	309040	Yep.
310040	315040	Hi, yeah.
315040	318040	Hi, hi.
318040	322040	Hey, hey.
322040	327040	Hi, hey, hey, hey, hey.
327040	332040	Oh that was fun.
332040	335040	Oh, dancing never used to wear me out like this.
335040	338040	You've got no sense of rhythm at all, Snuff.
338040	341040	It's still dance though, can't I?
341040	343040	Oh, are you ready, Papa?
