start	end	text
0	21120	here they are for one and all the moments are about to come on and sit down here with me
21120	28080	they're here for you on your TV they are the moments they are the moments
29600	38640	so come with me give me your hand i'll take you up to a moment land you can fly just like a bird
38640	45520	sing that song ever there were the moments there were the moments
45520	57920	there were the moments there were the moments
75520	76160	bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye
105520	135520	bye bye bye bye
135520	146360	About what is this it looks like movement as restless as if something has disturbed him I wonder what he was dreaming about
146360	161880	I wonder what time it is oh it nearly 20 after 2
161880	165880	I wonder whether it's morning or afternoon.
165880	168880	It doesn't really matter, I suppose.
168880	169880	Oh, it stopped.
174880	176880	Oh, it's frozen.
176880	179880	It looks really dark out there.
192880	197880	Mama, Mama, please wake up.
201880	203880	Papa, Papa.
203880	206880	Mama, Mama.
206880	209880	Mama, what's wrong with me? I feel way too weak.
222880	226880	It's very odd. I don't usually wake up when I'm hibernating.
239880	244880	Oh, dear. The whole house is buried in snow.
252880	255880	Oh, no.
256880	259880	Oh, no.
278880	282880	Oh, Papa!
282880	284880	Oh, no, no, no, no, no.
302880	305880	This doesn't look like Moomin Valley.
307880	310880	And it's so quiet.
313880	317880	What was that?
317880	321880	Perhaps I better go home.
321880	323880	No, what's the matter with me?
323880	326880	Everyone's asleep, and the furniture's all covered up,
326880	329880	and Moomin's don't give up.
329880	334880	Oh, I wish Northkin were here.
334880	339880	He's probably in the far south where it's warm and sunny.
359880	364880	I wonder what that is.
390880	393880	Oh.
393880	396880	That sounds like...
400880	403880	Oh, yes, it's little Mai.
403880	405880	By the bobble, what are you doing here, Moomin?
405880	407880	What am I doing here?
407880	409880	I heard strange noises and came to see what it was.
409880	411880	Then you crashed into me like an avalanche,
411880	413880	and I've just lifted the box off you.
413880	415880	Oh, don't be stupid, Moomin.
415880	418880	I mean, why are you out in the snow and not hibernating like the others?
418880	420880	Spring's not for ages.
420880	424880	Oh, I don't know. I just woke up and couldn't get back to sleep.
424880	428880	But what about you, sliding about like that, you should be asleep too.
428880	430880	Yes, I should, but I just woke up as well.
430880	432880	Probably to look after you.
432880	435880	I tried to wake my stupid sister, but she kept on snoring.
435880	437880	But I think this snow is really great.
437880	441880	Well, I don't. It's cold, it's slippy, much too bright,
441880	444880	and it's everywhere and far too quiet.
444880	446880	I saw the grok.
446880	450880	Wow, that horrible freezing monster.
450880	454880	She should feel at home in this, and there's no point in her trying to freeze anything.
454880	456880	I saw her on the hill.
456880	458880	Then it was her voice, I heard.
458880	460880	Yes, and the trouble with the horror thing is that she's so cold,
460880	463880	I wouldn't even want to touch her, Moomin.
463880	465880	It's her!
466880	468880	Oh!
474880	476880	I'm getting cold shivers all over.
476880	478880	Wow, why do you expect in the snow?
478880	480880	No, it's the grok's fault. She's done it.
480880	482880	Look at my skin, it's all goose bumpy.
482880	486880	It's not like that in the summer, it's smooth, not lumpy.
486880	490880	It's not the snow that makes me feel so cold, it's her staring at me.
490880	492880	I'm scared.
496880	499880	That was great.
499880	501880	Good, isn't it?
501880	503880	You can have as much as you like.
503880	505880	We picked more raspberries than ever this year,
505880	507880	and Mama made lots of juice.
507880	509880	Thanks.
509880	511880	Oh.
511880	512880	Ah!
512880	514880	I want that.
514880	516880	Mama's silver tray?
516880	517880	Yeah.
517880	518880	What do you want it for?
518880	520880	To slide on the snow with a coarse stupid.
520880	523880	But it's a sort of family treasure and heirloom.
524880	527880	Well, you never use it and it's so shiny.
527880	530880	It'll make a great sled and go really fast.
