start	end	text
0	20500	here they are for one and all the movements are about to come on and sit down here with
20500	30340	me here for you on your TV they are the moments they are the moments so come
30340	37180	with me give me your hand I'll take you up to a moment land you can fly just
37180	44540	like a bird sing that song ever there were the moments there were the
44540	57660	moments there were the moments there was the moments
74540	91340	Ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba-ba,
92500	95500	All is peaceful in moving valley.
96080	98080	Mama waters the flowers
100060	103540	while Papa relaxes in the shade on the porch.
103540	106540	Look, Mama, Moomin Papa is sleeping again.
106540	108540	Hmm.
108540	110540	You had a long nap yesterday.
110540	111540	I think it must be the weather.
111540	113540	It's too hot and sunny for me.
113540	115540	I wonder if he's worried about anything.
115540	116540	Hmm.
116540	119540	You don't sleep if you're worried you do something about it.
122540	125540	But Moomin Papa does have something on his mind,
125540	127540	although it doesn't keep him awake.
127540	135540	He's having a nice dream as well.
152540	155540	Oh, a lighthouse.
155540	157540	Oh, that's it.
157540	160540	Oh, that's it, a lighthouse.
160540	162540	What about a lighthouse, Papa?
162540	164540	We're going to visit one.
164540	165540	When?
165540	166540	Right now.
166540	168540	Well, as soon as I find one anyway.
168540	171540	That should stop you being bored, Mama.
171540	173540	Oh, I'm not really dear, but it would be nice.
173540	174540	Yeah.
174540	177540	Oh, I'm really excited.
177540	180540	Just think I'm letting lovely water.
181540	185540	Yeah, I'll write an exciting, epic novel of the sea.
185540	187540	I'm sure it will be a great success.
187540	190540	If he puts some action in it, misses out the romantic stuff.
201540	203540	Stop it!
203540	205540	Stop it!
206540	209540	Tell me.
209540	213540	Does Moomin Papa want all of you to go away to this lighthouse?
213540	214540	Oh, yes.
214540	215540	It'll be great fun.
215540	217540	Just think of all the ships we'll be able to see.
217540	219540	Yes, that will be good.
219540	222540	Papa says he wants to write an exciting story about the sea,
222540	224540	with ships and storms and stuff.
224540	226540	Probably pirates too.
226540	229540	Oh, he's stuck writing his memoirs again, is he?
229540	232540	Well, I guess that might have something to do with it,
232540	234540	but I think he just wants another adventure.
235540	237540	Well, it sounds a bit odd to me, Moomin.
237540	238540	No, it's not.
238540	241540	We're going to live in a real lighthouse and save ships
241540	244540	from the rocks and being wrecked in terrible storms.
244540	245540	Oh, I see.
245540	248540	What do you think the lighthouse keeper might say about you moving in?
248540	250540	Oh, he won't mind at all.
250540	253540	It'll be company for it, and I'm sure he'd like someone to talk to,
253540	256540	looking after lighthouses a very lonely job.
256540	261540	Ah, but if you thought Moomin, that might be exactly why he chooses to do it.
262540	266540	You mean that he might want to be on his own all the time?
266540	268540	Well, some people like it like that.
268540	271540	Sometimes I like being on my own.
271540	273540	Not for long, though.
273540	275540	It'll be a lot of fun.
275540	278540	Snuffkin, why don't you come with us?
278540	280540	What to a lonely lighthouse?
280540	282540	Yes.
283540	287540	Oh, no, which one is it?
287540	289540	There, that's the one.
289540	290540	Where?
290540	293540	So small, you can hardly see it.
293540	296540	How long would it take us to get their Moomin, Papa?
296540	298540	A day or two, I should say.
298540	299540	It depending on the window.
299540	300540	But it looks so tiny.
300540	301540	Oh, I don't know.
301540	303540	Well, I think so.
303540	305540	How we know which one is which.
305540	307540	Oh, don't you worry about that.
307540	311540	I've got an old compass somewhere, and we've got the map,
311540	314540	then at night we'll be able to see the light itself.
314540	315540	Anyway, an old sailor.
315540	316540	An old sailor?
316540	318540	Well, I'm not really that young.
