start	end	text
0	21000	Here they are for one and all, the movements are about to come, come on and sit down here with me,
21000	29000	Here for you are your TV, they are the movements, they are the movements,
29000	35000	So come with me, give me your hand, I'll take you up to a movement land,
35000	43000	You can fly just like a bird, sing that song ever, there were the movements,
43000	58000	There were the movements, there were the movements, there were the movements,
58000	59000	Da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da
88000	118000	da da da da da da da da da da da da da da da da da da da da
118000	120700	Dan, do you think it's broken, Papa?
120700	124500	Well, I'm not sure. I've not had a great deal of experience with this sort of thing.
130100	133400	Look over there, Moomin. It's the boy and the fisherman from the boat.
135300	136900	They're a bit strange, aren't they?
137000	138900	They must live somewhere here on the island.
141900	142900	Let's see.
148000	148500	What?
158000	162500	Oh, thank you. Leave it by the door when you haven't quite finished yet.
163500	165500	Well, at least we can see the floor now.
166000	168000	I think the keeper must be lying dead under the desk.
170000	173000	Nobody's cleaned here for a long time. That's for sure.
173000	176500	That probably means the lighthouse lamp hasn't been working for ages either.
177500	179500	I wonder if Papa will be able to fix it.
180500	183500	I wonder if they're going to manage to get the light working all right.
186500	189500	Well, the lighthouse without a lamp is pretty sad, isn't it?
194500	196500	Come on, light, will you?
196500	198500	Right, I'll give you one last chance.
202500	206000	Then I'm getting the big spanner. Now you don't know me, but I don't give in easily.
206000	207500	Especially to machines.
207500	216000	Have you thought brass brain what will happen tonight if there's a storm and there's a ship out there looking for land or trying to keep off the rocks and there's no light to guide them?
216000	218000	You'll be sorry Dan, but it'll be too late.
218000	225500	And all I can say is that if the light hasn't been working for some time that I'm afraid that there could have been many shipwrecks.
225500	226500	Oh, that's awful.
226500	230500	Well, it would be dangerous to come too close to the island without a light to help you.
230500	233000	I wouldn't be surprised if that ghost ship went one of them.
234000	240000	It all seems very strange, and I wonder what made the lighthouse keeper leave in such a hurry.
240000	244000	Unspeakable horror. Please be quiet, little my.
244000	249000	It's obvious. Close, thrown above dishes left unwashed, jigsaw puzzles have finished.
249000	253000	It's an unsolved mystery of the sea, just like the Marie Celeste.
