start	end	text
0	21000	Here they are for one and all. The movements are about to come. Come on and sit down here with me.
21000	29000	Here for you on your TV they are the movements. They are the movements.
29000	41000	So come with me give me your hand. I'll take you up to a moment land. You can fly just like a bird. Sing that song ever.
41000	58000	There were the movements. There were the movements. There were the movements. There were the movement.
58000	88000	Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob,
88000	118000	Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob, Bob
118000	123600	It's your father's old girlfriend, of course never. Oh, I'm sure he had dozens and dozens
123600	127800	Moomin Papa was a very kind and handsome young man a voice from the past
129280	131280	Moomin Papa liquid. I've got for you
135840	138340	Oh, no, I was
139100	145620	Moomin Mama, I think you should go back to the kitchen. Whatever for a little
145620	151980	My because Moomin Papa's stormy youth is catching up with him. Please Papa tell us it's not that kind of letter
157380	161780	Whatever it was it was a long time ago long before I ever met you
162180	164180	No, it's not that kind of letter
165180	171540	What sort of letter is it then? Oh much worse. It's from Aunt Jane. Who's that?
172020	178820	Mine my dear is on my father's side. Oh, how boring. You look very pale suddenly dear
179460	187060	Yes, because she's coming for a visit tomorrow. Oh, don't worry. There's plenty of time for arranging a welcome party
187700	191460	But I don't like her and I don't want it to come for a visit
191540	196660	Moomin Papa, why not? Well, you'll soon see she's very rich very rich
197620	205220	Yes, and she bosses everyone and we won't have a moment of peace. Oh, maybe she's so rich. She'll give us all wonderful presents
205620	210420	Goodness, this is so unexpected. Why is she coming here all of a sudden? Oh
211300	216580	She says she wants to discuss money matter as good heavens with me. She says there's no one else
216820	221060	So you see I'm in a very difficult situation. Oh, why can't you tell if you're not an expert
222100	228100	You don't tell Aunt Jane things. She tells you when that's that is not explained when you meet her
228180	230180	You'll know exactly what I mean
230420	235380	What do I know about money matters nothing? Not surprising since we've never had any
235940	242580	How can she expect a poor creature like you to know anything about money? Also, she's very very suspicious
243140	245140	And she says money is a terrible burden
245780	248260	Oh, I wouldn't mind shouldering her burden
