start	end	text
0	20560	here they are for one and all the movements are about to come on and sit down here with
20560	32800	me here for you on your TV they are the movements they are the movements so come with me give me your hand
32800	41680	I'll take you up to a moment land you can fly just like a bird sing that song ever there with the
41680	56320	movements there were the movements there were the movements
72240	78320	one day in mumen valley not long before midsummer on a perfectly ordinary day
78320	84640	snuffkin suddenly announced that he was going on a short trip where are you going snuffkin
84640	94320	well not very far I'll be back right after midsummer oh but snuffkin you missed the bonfire at the big party
94320	99520	hmm but why in the world are you going away there's something I've been dying to do for a long time
99520	105520	and it has to be done on midsummer eve I promise to tell you all about it mumen as soon as I'm back in
105520	114160	mumen valley little did snuffkin know that before he came back the underwater volcano which
114160	126240	had kept quiet ever since mumen papa's youth would wake up again
127200	136960	what's all that smoke is it the volcano and your father's memoirs
142960	147440	I don't think I like this I think it's exciting oh in that case you can have it
148400	152320	do mumen mama mumen yes what is it dear
152320	159360	this hammock is shaking it's very unpleasant I think it's that volcano you told us about
159360	167600	yes I guess it must be mama papa oh there's smoke rising from the street papa
178080	181120	oh that's very uh what is it papa
183040	189840	let me see what you have some quite a kind of eruption what's going on I don't know really I guess
189840	200560	there isn't much we can do I can't see oh where is it let me see now it's my turn now I was first
200560	203120	yes now I've got it
208480	213680	mumen papa we'll be all quakes as big in your youth no they certainly weren't and this one's
213680	217120	underwater oh my net cause a tide of waves
226320	229920	what do you think can you see anything unusual mumen papa
230560	236080	you've never seen anything like it this is very unusual oh my I want to see it too
238160	242320	how can you fight during a catastrophe whatever you do don't run the car
254800	259200	you're so stupid you should have let me have it first it's all your fault little my
259200	262160	anyone can see that how dare you say it was all my fault
269120	275760	snorke maiden yes I'm standing watch over my flying ship so why don't you stay over in mumen house
275760	281680	you be careful you look after her won't you mumen papa certainly snorke I don't like the look of
281680	286640	nor do I nor do I we better get inside mumen house quickly
372000	381120	what's that noise listen can you hear a noise what noise I don't know sounds like water to me
384640	389600	oh no what's happening mumen house is drifted off to sea
392800	399760	I don't believe this I think mumen valley is flooded it really is
402560	409440	what's happened to the kitchen and dining room just as I feared what are we going to do
410320	416720	mumen mumen can't even prepare breakfast down there oh good morning you're up early today mama
416720	423280	mumen house is flooded all of mumen valley is underwater oh dear I think you're right mumen
423280	427760	is papa still asleep let's go and wake him up he definitely wouldn't want missed it
428720	435120	boy I'm sleepy I'm even sleepy I didn't sleep a wink because he was snoring little my was
435120	440000	snoring so hard the whole bed was shaking I'm gonna have a nap soon as I've had something to eat
441360	448320	hey snap what this where am I what's happened here mumen house is flooded sniff
450160	455200	this means I'll have to swim to get home you'll have to dive to get into your house
455920	461840	hmm unless I'm mistaken the water is still rising moment papa you gotta do something do something
461840	468080	right away I think you better start taking swimming lessons and don't worry sniff I'll start
468080	473440	organizing what do you want organized mumen mama well dear I guess we should have some breakfast
473440	480240	first of all yes but how do we get into the kitchen papa you just leave that to me
480880	493120	there your kitchen I've never seen it from above before oh my goodness people should look at their
493120	500720	rooms from above once in a while look charge of food floating from the cellar what luck we have
500720	508640	a trap door mama shall I dive in and get them yes please mumen be careful mumen it's gotta be done
510320	512240	hurry up mumen I'm hungry
528160	531280	could you get us some bowls and plates this time sure
540560	550080	and indeed the water was still rising it's coming it's coming the water's up to the third floor
550080	555920	what are we gonna do mumen papa where's mumen papa he's up on the roof sniff with the others
555920	561600	what are they doing up on the roof ah there goes another poorly built house why doesn't our
561600	567280	house float away papa it's all very simple dear son I built it myself if you hadn't maybe
567280	573600	we wouldn't be about to sink altogether here we are when you're coming help me everybody
575840	582560	this is one of grandma's best plates so please be extra careful I know but where do you think
582560	589120	we're going mama something will float by big enough to take all of us we just have to wait
589120	593920	I'm not gonna wait for that I think this family's out in touch with reality something big enough
593920	598560	will float by a date huh I'm gonna see my old skin while I still time
601360	608720	this is something I should have done immediately but it's not too late look there's a whole house
608720	616000	drifting by oh you're right very odd looking house though yes it does look funny but I think we'd
616000	620320	better take it hmm that's the one we're getting
625520	630240	stop I'm coming with you don't leave me behind
633840	639200	where's that house right over there just there can't you see it snap oh that house
639760	641920	what you call that a house
646080	648080	oh
657360	663520	hurry up snap what are you doing I just changed my mind that one looks like it's going to sink
663520	669760	no it's fine we're all aboard come on I don't believe you as soon as I'm aboard it'll sink I can
669760	676560	feel it he's scared of his own shadow let's leave him move any such a whim come on it's all right
676560	682160	now don't worry about me you can let go of the ladder I'm fine stay behind if you'd like
682160	688960	sniff but what about your breakfast we have all the food here and you might get hungry and if
688960	696800	you do there'll be nothing to eat why didn't you say so before and now hold the ladder steady
696800	703680	I don't want to be abandoned no brother he's could have made king you know what is it he actually ever fallen
707440	714240	hey I'm falling on it I'm falling don't do the same after I'm falling don't shake it
716480	725680	don't shake it fall to steady excuse us hello anybody home
725680	730240	don't worry we're not dangerous isn't breakfast ready yet I'm starving to death
731600	738320	there's no one here Papa I think you're right it certainly seems empty oh and the most
738320	743360	exciting empty house I've ever seen why do you say that what do you mean exciting do you mean
743360	750560	interesting or do you mean scary little my interesting and scary looks Norgmaiden look around
751520	758320	oh what a lot of mirrors this house must have been full of women who loved glow or maybe just one
758320	764320	woman snork maiden who had as many faces as there are mirrors in this room I don't like that look
764320	770160	every mirror has a chair in front of it place just like so this house was full of ladies and each
770160	782000	had her own little mirror thank goodness we brought some plates with us
785440	793040	look what I found bread naples how nice if now we can have a real breakfast but where is everybody
793040	796560	well I don't know somewhere around
801120	807120	whoever lived here must have had a lot of strange hobbies you're so right
807120	814960	hey who said that wow look at that cog wheel the snork would love that I wonder what
814960	820880	woman will say about this little mind I'm sure he'll say you look better without anything
822800	827760	one look at you and he won't even notice anything else well if he has any sense he will fall
827760	834000	for me like a ton of bricks you want about breakfast woman mama we'll have breakfast as soon as we
834000	840240	are all here I wonder where they can all be you know it's very bad for me to go hungry I always feel
840240	846640	unwell if I don't eat all right sniff you go ahead but mind you don't eat all the apples leave
846640	850400	some for the others won't you oh don't worry of course I will mom and mama
859040	863840	this is naples oh but where on earth did you find them sniff
864800	870720	in a football my novel trick to play on people making false fruit I'm very upset
870800	875200	oh this is not bread oh
881200	886800	who could have done such a cruel thing to me somebody with a very ought sense of humor I'd say
886800	892720	somebody without anything have some keys instead that at least comes from moving valley
892720	895040	and it looks delicious
895520	897040	yes
897520	899520	whatever these levers for
902320	910400	uh-huh yeah what's that here he sounds it's creepy get you here and it sounds like a new earthquake
910400	918400	yes I can hear it it's scary and spooky and creepy all you need to try to be on my mind oh I wonder
918400	924240	what it can be very strange indeed I just don't think I can take another earthquake right now
924240	929120	moment yeah oh my goodness oh look what is it sniff
932720	939600	why our table is gone this is a haunted mansion moment mama well they can't take grandma's
939600	945440	plates just like that you can have the plates back but I'll get the cheese I like cheese
947440	954000	this is good cheese you bet mama yes I certainly did better not let our food out of
954000	957920	sight let's get out of this house please mom and mama
984240	986000	huh
991680	1000560	papa was it the witch who was laughing no the lefters coming from that ugly one behind there
1008800	1013920	did I hear someone call me an ugly thing just now oh excuse us madam you must be the
1013920	1021760	owner of this house no oh indeed I am not most certainly not you are greatly mistaken this
1021760	1027920	is no house you fool this is a theater as the editor yes this is a stage where the heroine
1027920	1033200	receives a standing ovation at the end of the last act and the bread and the apples are props
1033200	1037840	and the rumor you are playing is where the actors make themselves up to become totally different
1037840	1046160	people kings or murderers oh and you are one of these actors actress you understand less than
1046160	1054400	nothing see this broom here this is my only prop I sweep the dust in this theater oh really I have
1054400	1060640	wielded this broom for nearly 20 years would nobody to help me 20 years I have cleaned this theater
1060640	1069760	beautifully my name is Emma Emma and you you better remember that this is a theater this is no
1069760	1075920	ordinary house and it is a great honor for you to be here at all that's true does this mean
1075920	1081040	that we can stay here just for a while you know until the actors return today they all think
1081040	1089520	you have overslap it's really cool yes it certainly is we'll try not to bother you we're
1089520	1119520	all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we're all we
1119520	1121180	oh yeah!
1121180	1123380	it reminds me of NASA, but it reminds me of, it reminds me of...
1123380	1124900	but it reminds me of a brainwarming scene in the sensual house
1124900	1126700	and it reminds me of a brain of a brainwarming scene in the sensual house
1126700	1128360	and it reminds me of a brainwarming scene
1129400	1130500	and it reminds me of a brain nerd
1130500	1131740	and it reminds me of a brainrü 떨어�ives
1131740	1132900	And it reminds you of a Mary projections
1134420	1136500	I remember this
1136500	1138080	when I first saw...
1138080	1139100	a cat who threw her shoes
1139100	1140700	under my shoes
1140700	1142700	and it reminds me of a brain [(Shortcutting their shoes by himself-)]
1143140	1144260	and it reminds me of...?
1144260	1144940	I remember Gabriel Peng and his brother
1144940	1146040	when I first saw him
1146040	1147320	when I first saw him
1147320	1148900	when I first saw him
1148900	1152900	That looks safe. We could easily spend the night here.
1152900	1158900	We'd better tie the theatre to the tree so it won't drift away if that's all right with Emma.
1158900	1162900	Emma, is it all right to tie the theatre to the tree?
1162900	1166900	Do what you want, as long as you don't damage the theatre to here.
1166900	1168900	All right.
1168900	1173900	Don't whistle you idiot. Don't ever whistle in a theatre.
1173900	1177900	That's the worst luck possible. How dare you?
1177900	1179900	Oh.
1191900	1195900	This is great snork maiden. We can look at the moon.
1195900	1199900	And the flowers, they smell so good.
1199900	1201900	What's the matter?
1201900	1203900	I hope that snorks all right?
1203900	1208900	Don't you worry. He was standing guard over a flying ship after all.
1208900	1213900	All you have to do is get on board and fly away.
1234900	1238900	What's going on here?
1238900	1241900	Huh?
1241900	1249900	No, they're trying to destroy the pamphor's box. I've never seen anything like it.
1249900	1253900	These people are bunch of vandals.
1263900	1283900	Meanwhile, movement and snork maiden are fast asleep, blissfully unaware of what was happening.
1283900	1287900	But whatever they do, stranded on the treetop.
1287900	1297900	They love the laughter and they love the living the movements.
1297900	1305900	They're leaving and sharing and caring and giving the movements.
1305900	1309900	They're always happy and goes at play.
