start	end	text
0	21000	Here they are for one and all, the movements are about to come, come on and sit down here with me.
21000	29000	Here for you on your TV, they are the movements, they are the movements.
29000	36000	So come with me, give me your hand, I'll take you up to a moment land.
36000	41000	You can fly just like a bird, sing that song ever.
41000	46000	There were the movements, there were the movements,
46000	59000	there were the movements, there were the movements, there were the movements.
59000	75000	Ba, ba, ba, ba, ba, ba.
75000	80000	Woman and snorkemaiden were still fast asleep in the row and tree.
80000	88000	The sun was high in the sky and the floating theater had floated away a long time ago.
88000	99000	Oh, oh, oh, I feel so good, I really slept like a log all night.
99000	107000	It's so lovely to be out in the fresh air with movement and a tree in blue.
107000	114000	No, no, the house is gone, I mean the theater is gone.
114000	120000	Woman, wake up, there's been a catastrophe, wake up.
120000	126000	What's a catastrophe? Look down, the theaters floated off during the night.
126000	130000	I don't believe it.
138000	143000	It has, it's gone, I can't see it anywhere.
143000	146000	It must be far away by now.
146000	150000	Woman, your father's walking stick.
150000	156000	It must have got loose in the middle of the night while everybody was asleep.
159000	162000	Crying won't solve the problems, don't made him.
162000	168000	But we're stranded in the row and tree with water all around us.
174000	181000	Hmm.
181000	186000	Huh?
186000	189000	Huh?
189000	193000	Oh no, we're in a drift, we're floating away!
193000	196000	We're drifting away!
197000	201000	Oh, what are we going to do?
201000	206020	Bull men and snot maintenance are still up in that beautiful Rowan tree. That's just typical
206120	209000	Where is it and how can we have drifted so far away?
209720	215200	Listen last night didn't you I told you never to do that in the iterate brings bad look
231000	233000	Oh! Little Maya!
233000	235000	Oh my God!
235000	237000	Oh, no!
237000	239000	Oh, no!
239000	241000	Oh, dear!
241000	243000	Oh, little Maya!
243000	245000	Oh, get this hurry!
245000	247000	You're so mean!
247000	249000	Little Maya's drifting off.
249000	252000	Seems we're stranded, and that's not a bad thing.
252000	255000	The aiders shouldn't swim about like that.
262000	265000	Aren't you scared to get over to your side?
265000	267000	You must be brave, North Maiden!
267000	269000	I'll catch you so you won't fall, okay?
273000	275000	Oh!
276000	279000	I told you so, the branch didn't break, did it?
279000	281000	Thank you for saving me!
281000	285000	Whoa!
285000	287000	Ah!
288000	289000	Ah!
289000	291000	Are you all right, Moomin?
291000	293000	I can stand up, Snorke Maiden!
293000	295000	Look, the water's only ankle deep!
295000	297000	Really?
299000	301000	Ah!
301000	304000	Are you all right, Snorke Maiden?
304000	306000	Yes, it's so shallow.
311000	313000	Wonder where I'm gonna end up.
313000	316000	Doesn't matter, I rather like this boat.
316000	317000	I'm gonna make some noise.
317000	319000	I'll go back to sleep for a while.
326000	328000	It's getting dark, isn't it?
328000	330000	Oh?
334000	336000	Yes, try them!
336000	338000	Look there!
338000	339000	A fire!
339000	341000	Must be people over there.
341000	343000	Yes!
346000	351000	Of course I forgotten tonight's mid-summer eve!
377000	379000	What a strange catch!
393000	395000	So the Moomin's split up.
395000	397000	Are they in trouble, little Mai?
397000	400000	Yeah, seems I was probably the luckiest one as usual.
400000	402000	More!
402000	405000	I'm sorry you can't have anymore, that's all I have.
405000	408000	I don't believe you, your bag's still full.
408000	410000	Yes, but not with food, little Mai.
410000	412000	What's in it then?
412000	414000	You'll soon find out.
417000	418000	Where are we going?
418000	419000	To a park.
419000	422000	I hope there's a hot dog stand there.
436000	440000	Those two over there are the park keeper and his wife.
440000	442000	Look, they're always watching.
442000	446000	They guard a lot of poor orphans who come to the park every day.
446000	448000	Really?
448000	450000	Look over there!
454000	456000	Unbelievable!
