start	end	text
0	21000	Here they are for one and all, the movements are about to come, come on and sit down here with me.
21000	29000	Here for you on your TV, they are the movements, they are the movements.
29000	36000	So come with me, give me your hand, I'll take you up to a movement land.
36000	46000	You can fly just like a bird, sing that song ever, there were the movements, there were the movements,
46000	59000	there was the movements, there was the movements, there was the movements, there was the movements,
59000	80720	When the Hennian first told Mumen about the golden fish, Mumen thought to himself that
80720	82720	But it must look something like this.
89720	93720	My grandpa told me that his mother had actually seen it.
93720	95720	So you never saw it yourself, Mr. Hemion?
95720	97720	No, I'm a batonist.
97720	101720	It comes to the surface only under very special conditions.
101720	103720	It's very rarely seen.
103720	104720	Conditions?
104720	105720	Yes.
105720	108720	First of all, it must be right between summer and autumn.
109720	110720	But that's now.
110720	111720	Yes.
111720	114720	It has to be in the afternoon sunshine after heavy rain.
114720	116720	Yes, that does narrow it down.
116720	118720	And there must be no wind.
118720	120720	Grandpa said not even a ripple on the water.
120720	122720	Oh dear.
122720	127720	And there are some other conditions that he really didn't know about anyway to see it.
127720	129720	You must be extremely lucky.
131720	132720	Hmm.
132720	134720	Just getting to the lake itself isn't too easy.
134720	136720	It's way beyond lonely mountains.
139720	143720	Going over lonely mountains and back would take at least two days.
143720	146720	Not really, because I know a shortcut movement.
146720	148720	I could take you there and back in one day.
148720	150720	Oh, could you do that?
150720	151720	Yes.
151720	153720	Have you already been there, Snuffkin?
153720	155720	Just once.
155720	157720	Oh, will you show me the way?
157720	158720	You really want to go?
158720	159720	Yes.
159720	163720	I must see that golden fish with my own eyes and maybe capture it.
163720	165720	It won't be easy to capture.
165720	167720	Why not?
167720	170720	From what I've heard, the golden fish is far too clever to get caught.
170720	173720	I know, but it would be so much fun.
173720	174720	You going alone?
174720	177720	Well, Snorkmaiden said she wanted to come along.
177720	179720	She gets these ideas, you know.
179720	180720	Just Snorkmaiden?
180720	181720	Uh, maybe a little my.
181720	183720	What about Sniff?
183720	185720	I think he wants to come along, too.
185720	187720	What about you?
187720	190720	In that case, we'd better go across the mountains.
190720	192720	Why is that? Why can't we take the shortcut?
192720	195720	The path is rather steep and dangerous, you know, Moomin.
196720	198720	Especially in the forest of witches.
198720	199720	Hide the witches?
199720	200720	Not now, maybe.
200720	202720	Oh, so it's safe then.
202720	206720	But it's a very deep forest dark and scary even in daytime.
209720	211720	That's okay, we'll take the shortcut.
211720	212720	Hmm.
225720	227720	Oh, dear.
227720	229720	Come on.
251720	253720	Good morning, Snuffkin.
256720	257720	Oh.
266720	268720	Sorry, Snuffkin, guess I overslept.
268720	271720	Snorkmaiden a little my, aren't here yet.
271720	273720	You're very early.
273720	275720	Hmm, I dreamt I caught the golden fish,
275720	277720	and then, of course, I couldn't go back to sleep.
277720	279720	Well, let's go.
279720	281720	Shouldn't we wait for Snorkmaiden a little my?
281720	284720	Oh, they're not really great walkers, are they?
284720	288720	And anyway, didn't we decide that we wouldn't wait for anybody?
288720	290720	So it might be better this way.
290720	292720	What's better this way, Moomin?
292720	294720	Oh, little my.
294720	296720	Why don't you stay here?
296720	298720	This will be a very tough expedition.
298720	300720	I'm tougher than you.
300720	302720	Wait for me.
308720	310720	Hey, walk any faster, Snuffkin.
310720	312720	I'm still so sleepy.
313720	316720	Why did we have to leave so early, Moomin?
316720	318720	To get there back in a day, Snorkmaiden.
318720	320720	But we aren't taking the shortcut, are we?
320720	323720	Yes, but it still might get dark before we're back.
