start	end	text
0	21000	Here they are for one and all, the movements are about to come, come on and sit down here with me.
21000	29000	Here for you on your TV, they are the movements, they are the movements.
29000	35000	So come with me, give me your hand, I'll take you up to a moment land.
35000	46000	You can fly just like a bird, sing that song ever, there were the movements, there were the movements,
46000	59000	there were the movements, there were the movements, there were the movements, there were the movements.
76000	99200	Winter was just around the corner and that was the time of year for movement to get restless.
99200	120400	Because this was the time of year for Snuffkin to leave Moomin Valley on his yearly trek south.
120400	123200	Good morning, Papa. That bonfire looks inviting.
123200	130400	Now you're up already. We're buried in leaves this morning after that wind last night.
130400	135200	Yes, winders on the way. Oh, this is a lovely bonfire.
135200	137200	Yes, isn't it?
137200	142400	I guess we're hibernating again this winter. Are we moving, Papa?
142400	146800	Well, of course. We always hibernate in the winter.
146800	152400	If Snuffkin says I could go with him, couldn't I give this winter a miss and hibernate longer next year?
152800	155600	Mord. Oh, please, Moomin, Papa.
155600	158800	Snuffkin would rather go alone, I think, Moomin.
158800	162000	But I might get him to train his mind.
162000	165200	But Snuffkin's not really a person who likes to be pressed.
165200	167200	Why not?
167200	173600	Well, he's a very solitary person. His winter trip is the only time he can really be alone for a while.
173600	176400	I know, but I was just hoping.
176400	180000	Snuffkin likes you very much. I know that.
180000	184000	And I think that's why he stays in Moomin Valley for the rest of the year.
184000	189200	But at heart, he's a vagabond and he needs time away from us.
189200	192400	He's not a family man, so he's free to do as he wants.
192400	195600	And as his friend, you should try to understand.
195600	199600	I know you'd like to go with him, but I don't think it is such a good idea.
199600	202000	He'd really hate to turn you down, I know.
202000	204000	I guess.
204000	206000	But he'd have to.
206000	210000	Oh.
220000	222000	Oh.
222000	224000	Why aren't they biting?
224000	227000	I haven't had a proper catch for days.
227000	230000	Getting too cold, is that?
232000	234000	When are you leaving?
234000	236000	You're about to leave, aren't you?
236000	238000	Yes.
242000	244000	Could I ask you something?
244000	246000	What?
246000	248000	Don't go without telling me.
248000	250000	But why?
250000	254000	I'm always sad when you leave, even though I know you'll return in the spring.
254000	257000	Yeah. Me too, sort of.
257000	260000	That's why this year I'd plan to leave without saying anything.
260000	264000	But it makes me even sadder if I can't see goodbye properly.
264000	266000	I'd like to wish you good luck and all that.
266000	268000	I miss you so much when you're away.
268000	270000	Please, Snuffkin.
270000	272000	Moomin, I have a better idea.
272000	274000	I won't leave until after you've started hibernating.
274000	276000	Then you won't miss me, will you?
276000	278000	You're right.
278000	280000	I'll take a great idea, Snuffkin.
280000	282000	Then we won't really part at all, won't we?
282000	284000	Nope.
284000	288000	Because I promised to be back here in Moomin Valley before you even woken up.
288000	292000	Wonderful. What a super idea.
292000	296000	Hey, Moomin!
296000	298000	Oh, Snuff.
298000	300000	Moomin, come here a minute.
300000	302000	There's something funny caught up in a tree.
302000	304000	What do you mean, funny?
304000	306000	I don't know exactly. Never saw anything like it before.
306000	310000	Snortmain a little my-founded first, but it's too high to get it down.
310000	314000	Okay, I'll come have a look.
318000	320000	Be careful.
322000	326000	Be careful. What is it, Moomin?
328000	330000	I know what it is. It's a kite.
330000	332000	Oh, what?
332000	334000	A kite is something you fly in the sky.
334000	336000	But it has no wings.
336000	340000	No, you send it up against the wind on a string.
340000	348000	That's right!
352000	354000	Oh!
360000	363000	That's right.
363000	370000	Where'd it go?
370000	373000	Oh, through it though.
373000	380000	That's all right.
380000	389000	Oh, song, this is what a kite looks like.
389000	391000	Looks broken to me.
