start	end	text
0	21000	Here they are for one and all, the movements are about to come, come on and sit down here with me.
21000	29000	Here for you are your TV, they are the movements, they are the movements.
29000	35000	So come with me, give me your hand, I'll take you up to a moment land.
35000	46000	You can fly just like a bird, sing the best song ever, there were the movements, there were the movements,
46000	62000	there were the movements, there were the movements, there were the movements, there were the movements.
62000	70000	The snow was getting thicker on the ground and it was high time for the movements to start hibernating.
76000	98000	What are you doing now man, Alicia? What are you doing with these pine needles? That's what we always eat before we hibernate nobody knows why.
98000	104000	So you're going to start hibernating? Yes tonight. Oh that's soon? Yes.
104000	110000	I'm so glad I've come to see you today instead of leaving until tomorrow then.
110000	118000	I must say you came on just the right day, Alicia. We usually have a small party the night we start hibernating and you've arrived just in time.
118000	121000	Oh you mean I can stay for that woman, Mama?
121000	127000	And by the way Alicia is a matter of interest, is the witch, sorry your grandmother I mean, know that you're here?
127000	131000	No I'm afraid I didn't tell her, better for grownups not to know too much.
131000	133000	Oh do you say you're right?
133000	137000	I'm afraid she's not very happy for me to come here to move in valley.
137000	139000	Why ever not my dear?
139000	144000	I guess she's afraid that if I start coming here to play I shall lose interest in studying hard at my witchcraft.
144000	148000	Oh but you've got a very long time to go before you're a witch?
148000	152000	It takes anything between five to seven years nowadays.
152000	155000	Are you really sure that's what you want to be Alicia?
155000	158000	Study something out. But I want to be a witch.
158000	161000	Perhaps you don't know but witches aren't terribly popular.
161000	166000	Yes I do but I won't be like that, I'll be popular.
166000	172000	Hey, stop here.
172000	174000	You're off to the moments?
174000	176000	Yes.
176000	181000	I thought you'd gone south already, last winter you'd gone before the snow started.
181000	183000	Not this year I promised Moomin.
183000	184000	Promise?
184000	188000	I promised not to leave Moomin Valley until he went into hibernation.
192000	195000	Everybody seems to be here and somebody knew.
195000	196000	Who's that?
196000	198000	Have a guess.
198000	201000	Very well then, it's Alicia that's my guess.
201000	203000	How did you know?
203000	205000	What? I'm right?
205000	208000	Yes you are but I think you peaked and saw her earlier on.
208000	212000	I did it. I just named somebody I thought couldn't be here.
212000	213000	Clever huh?
213000	217000	Well she just happened to stop by. She's with Papa who's showing her around the house.
217000	219000	Is the witch here too?
219000	222000	No she didn't tell the witch she was coming here.
222000	225000	Just as well thank goodness.
227000	232000	Ah it's you snuffkin. I finally came over. I told you I would.
232000	233000	Hi.
233000	236000	Remember our friend here? He's called Sniff.
236000	238000	Hi, how do you do Sniff?
