start	end	text
0	21000	Here they are for one and all, the movements are about to come, come on and sit down here with me.
21000	29000	Here for you on your TV, they are the movements, they are the movements.
29000	36000	So come with me, give me your hand, I'll take you up to a movement land.
36000	46000	You can fly just like a bird, sing that song ever, there were the movements, there were the movements,
46000	58000	there were the movements there were the movements, there were the movements, there were the movements.
76000	106000	Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh,
106000	132300	Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh-oh, oh, oh-oh, oh, oh, oh, oh, oh, oh, oh, oh-hhhhhh...
132300	135300	The witch has come to Moomin Valley.
135300	137300	What could she be up to this time?
137300	139300	Eldris Cabalasum!
139300	140300	Eldris Cabalasum!
140300	142300	Eldris Cabalasum!
142300	143300	Eldris Cabalasum!
143300	144300	Eldris Cabalasum!
144300	146300	Eldris Cabalasum!
146300	147300	Eldris Cabalasum!
147300	148300	Eldris Cabalasum!
148300	149300	Eldris Cabalasum!
149300	150300	Eldris Cabalasum!
150300	151300	Eldris Cabalasum!
151300	152300	Eldris Cabalasum!
152300	153300	Eldris Cabalasum!
153300	154300	Eldris Cabalasum!
154300	155300	Eldris Cabalasum!
155300	156300	Oh!
158300	160300	Oh, it's snowing again.
160300	162300	I must get a covered brown.
164300	165300	Oh!
191300	193300	The great thaw had come at last.
199300	200300	The Moomin Valley.
206300	208300	I think I can smell spring!
211300	214300	Oh, I've never seen anything like this one before.
221300	223300	Hello there, Mr. Hamilton.
223300	224300	Hello, Sniff.
224300	225300	You're up early this year?
225300	226300	Yes.
226300	229300	I think I've even beat Moomin to it.
229300	230300	Is that so?
230300	232300	Why are the Moomin so late this year?
240300	241300	Moomin, wake up!
241300	242300	Spring is here!
242300	243300	It's time to wake up!
243300	244300	Moomin!
246300	248300	Maybe Snork Maiden's easier to wake up.
249300	250300	Snork Maiden!
252300	254300	And I thought I was difficult to wake up.
254300	255300	I must get closer.
266300	267300	What are you doing, Sniff?
267300	268300	What am I doing?
268300	269300	You can see, can't you?
269300	272300	Of course I can, but why are you climbing up that?
272300	274300	Moomin and Snork Maiden are still asleep.
274300	275300	I have to wake them up.
275300	276300	Why don't you go this way?
277300	278300	It's easier!
282300	284300	What are you doing?
288300	290300	Funny, even Moomin Mama's still asleep.
296300	297300	Wrong room.
300300	301300	Come on!
301300	302300	Wake up, lazy bones!
307300	309300	Moomin, spring has come!
313300	315300	We'll look at that!
315300	317300	Wake up, you sleepyhead!
317300	319300	Oh, you really are impossible!
319300	321300	Moomin, Moomin, Moomin!
321300	323300	This is odd, even for Moomin!
326300	328300	Open the window, little mind!
329300	330300	Oh, was I scared?
331300	333300	Oh, I haven't you opened them up!
333300	334300	I've tried, but they won't!
335300	336300	You're kidding!
339300	341300	No one can resist this little mind!
342300	343300	Wake up, Moomin!
