start	end	text
0	21000	Here they are for one and all, the movements are about to come, come on and sit down here with me.
21000	29000	Here for you on your TV, they are the movements, they are the movements.
29000	35000	So come with me, give me your hand, I'll take you up to a moment land.
35000	46000	You can fly just like a bird, sing that song ever, there were the movements, there were the movements,
47000	66000	there were the movements, there were the movements, there were the movements, there were the movements.
66000	67000	What?
67000	68000	What?
68000	80900	Big explosions could be heard in Moomin Valley almost every night, and Moomin couldn't sleep
80900	81900	awake.
81900	89680	Usually there was just one, but sometimes even two.
89680	91680	You heard it too, Moomin, pop up.
91680	94480	Yes, those loud bangs are kicking me awake.
94480	99760	I wonder if there'll be another one.
99760	101960	They seem to be coming from the north.
101960	103680	Hmm, he's sti-thought.
103680	105800	Or they could be coming from lonely mountains.
105800	109360	If you ask me, I believe they're the work of the witch.
109360	110360	The witch?
110360	112560	But witches don't make a lot of noise.
112560	113560	Never know.
113560	116200	They're sneaky characters.
116200	120960	Tomorrow I'll have a few words with the inspector, except to him to put a stop to it.
120960	123800	Papa, why would the witch want to make explosions?
123800	124800	Why not?
124800	129320	The first bang wakes me up, and then I lie awake waiting for the second one, which might
129320	130920	not come at all.
130920	134760	The bags might not come from Moomin Valley at all, and they might be just an echo off
134760	135760	the mountains.
135760	136760	Do you think so?
136760	137760	Yes, I do.
137760	139520	Well, at least that's what Snuffkin thinks.
139520	141800	And the explosions might come from the sea.
141800	143280	That's what Snuffkin figured.
143280	146360	He thought it might be pirates or something making the noises.
146360	150040	He's already had pirates, and they went a long time ago.
150040	151520	I'm plumping for the witch.
151520	152520	There's no doubt in my mind.
152560	154080	What are you doing out here?
154080	156920	We're waiting for another explosion, Mama.
156920	158480	You're waiting, Vane, dear.
158480	160480	No, no, no, no, that Moomin, Mama.
160480	164720	Well, we had two explosions last night, and we've never had double explosions for two
164720	167720	nights in a row.
167720	169560	Until now, that is.
169560	170560	You heard that.
170560	171960	It clearly came from over there.
171960	172960	Over there?
172960	173960	Oh, no.
173960	176320	It certainly came from over there.
176320	177760	You couldn't mistake it.
177760	178760	I'm sure of it.
182520	192320	Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh.
192320	193840	Good morning, Moomin, lovely day.
193840	195280	Good morning, Snuffkin.
195280	196760	You look very sleepy.
196760	200960	So would you be opposed to explosions that kept you awake for most of the night?
200960	203280	Those explosions are really very hard, aren't they?
203280	204760	They certainly are.
204760	207760	Would you come with me and have a word with the witch?
207760	211040	Moomin, Papa's convinced that she's the one who's making the bangs.
211040	212540	I think he's wrong there.
212540	216040	That's what I thought, but there's nothing I could say to convince him.
216040	219040	So now I'm going to find out for myself.
219040	223040	You can certainly ask her, but do you really trust a witch to tell you the truth?
225040	226040	Do you, a woman?
226040	229040	But witches don't have to lie, Shirley.
237040	239040	Is that you, Little My?
241040	243040	And where are you two going?
243040	244040	Little My.
244040	247040	Are you tailing me full time or what?
247040	252040	Yes, whenever you're sneaking off somewhere, I'm not sneaking, I'm just walking.
252040	255040	Well, I've never seen anyone walking in such a sneaky way.
260040	264040	Last time the witch tried to keep you from waking up, didn't she?
264040	265040	So?
265040	268040	So you think now she's trying to keep you from sleeping?
268040	272040	Well, if she makes the explosions, it's always possible that someone else is the target.
272040	277040	We know very little about witches, and those bangs are probably nothing to do with the movements.
278040	282040	I think you guessed right, but try telling that to the movements.
282040	284040	We don't think it's like that at all.
