start	end	text
0	8000	Off we go then, Hank is away, he won't have to road too hard, the wind will pick us up soon.
9000	12000	Goodbye, have a good time, everyone.
12000	17000	Goodbye, Snuffkin, now don't forget to shut all the windows if it rains, will you?
17000	18000	No.
23000	25000	Up towards!
31000	36000	Hey! Wait for me, I want to have a good time too!
36000	39000	Hey, wait!
42000	45000	Look, Snuff is still waving.
45000	47000	He's a sweet boy.
48000	51000	Let's keep waving, Moonman, till we're out of sight.
51000	54000	Bye, Snuffkin! Bye, bye!
54000	56000	Bye!
56000	60000	No, I'm not waving goodbye, I want to go too!
60000	63000	Don't eat all the road, Mary Tabo, we're gone!
63000	66000	It's no good shouting little Mai, he can't hear you.
66000	71000	He's giving us a great send-off though, for Snuff, he should have come with us.
76000	79000	Nancy, I'm going off and leaving me here on my own.
85000	89000	Snuffkin, if you wouldn't mind, I think we need some music to send us on our way.
89000	91000	What do you say?
115000	118000	Are you sure we're on the right course for the island, Papa?
118000	122000	Yes, the winds with us and the sails are fine.
122000	126000	I bet if we keep this speed up, we'll be there by tomorrow.
126000	130000	Well, if the wind stays like this, you could be right.
145000	148000	The wind's not dying down at all.
148000	151000	I'm surprised, I never thought we'd keep up this speed.
151000	153000	Now make sure you're allergic.
153000	159000	Of course we will be, Papa, if we carry on like this, perhaps we'll see the light from the lighthouse while it's still dark.
159000	162000	Well, we don't want to hit anything at this speed.
162000	164000	Don't worry, we're watching.
164000	167000	Ah, this is the light.
175000	179000	Papa, the wind's dropped.
179000	184000	Well, that's strange, it shouldn't happen that quickly.
184000	187000	Do you want us to start rowing, Moomin, Papa?
187000	191000	No, Snuffkin, I think we'd better get some sleep.
193000	197000	Stupid wind, I really wanted to see the lighthouse at night.
197000	199000	It's getting foggy too.
199000	201000	I can't even see the stars anymore.
201000	205000	Right, Snuffkin, wake me in two hours and I'll take over.
205000	208000	Okay, Moomin, Papa.
221000	224000	What's the matter, Little My?
226000	228000	I thought I heard something.
229000	232000	It's coming from over there somewhere.
232000	235000	Can you see anything?
235000	239000	No, but I can hear it.
239000	243000	It's so good eye, and it's getting closer.
250000	252000	Little Moomin, Papa, get up, Moomin!
252000	255000	Stop it, Little My! What's the matter with you?
255000	257000	You too, Moomin, quickly, before it's too late!
257000	259000	What's the matter, Little My?
259000	264000	I can hear her ship, I can't see it, but it's very close and getting closer.
264000	266000	A ship? Where?
266000	268000	Over there, and she's bearing down on us.
268000	270000	Quickly, we don't have much time.
273000	275000	Yes, by the boobalier right.
275000	277000	We must let them know we're here, a signal.
277000	279000	Right, all hands on deck.
279000	282000	Maybe if we all shout as loud as we can.
282000	284000	Look!
284000	286000	Oh!
291000	293000	Too late for shouting!
293000	295000	It's huge!
295000	298000	Look out! It's gonna hit us!
299000	301000	I think Moomin's right, what can we do?
301000	305000	It's too late for anything, just brace ourselves and be ready to swim for it.
310000	312000	Quick, get down, Little My!
315000	317000	Oh!
323000	325000	I don't believe it!
325000	327000	Little My!
330000	332000	Huh?
332000	334000	That's hard, the ship didn't hit us.
334000	336000	Oh yes, he did!
336000	337000	What?
337000	339000	It went straight into our rudder when nothing happened!
339000	341000	It went right through us!
341000	345000	Right through us, that's impossible she couldn't have.
345000	348000	I wonder if there was anyone on board that ship.
348000	350000	I can't see any lights.
350000	353000	I know, Snuffkin, I think it's a ghost ship.
353000	355000	A ghost ship?
355000	358000	Well, there's no wash and no damage to us.
358000	360000	It's the only explanation, I think she's right.
360000	363000	A ghost ship, we've actually seen one.
364000	368000	Oh dear, oh dear, I need to sit down, all this excitement's too much.
368000	373000	Papa, don't they say that if you see a ghost ship, something terrible is gonna happen to you?
373000	377000	What happened in the first place to make it become a ghost ship? That's what I wanna know.
377000	380000	Well, that's just some old sailor's tail, Moomin.
380000	384000	If it had been a real ship, we'd probably be sinking now.
384000	386000	Don't you think so, Snuffkin?
386000	388000	Yeah, I suppose.
388000	391000	That's one way of looking at it.
391000	394000	Come on, cheer up you guys, at least it was fun.
394000	396000	What's the matter?
396000	397000	Has something happened?
397000	398000	What are you laughing at?
398000	400000	What's so funny?
400000	402000	Are you going to tell us?
402000	405000	Why didn't you wake me up, Moomin?
405000	406000	Oh!
406000	409000	Well, I think we're doing very well.
409000	411000	We're doing very well.
411000	413000	We're doing very well.
414000	416000	Oh!
416000	419000	Well, I think we're doing very well.
420000	424000	Oh, what a beautiful sky, just look at it.
424000	427000	Oh, the fog is lifting.
444000	448000	Oh, what's it dozed off?
451000	454000	Another beautiful day, not a ghost ship in sight.
458000	461000	The lighthouse.
462000	464000	Hey, wake up everybody, the lighthouse.
464000	467000	I can see the lighthouse we're there.
469000	472000	Oh, the sun shining, we must have slept for hours.
472000	475000	Oh, there it is.
475000	477000	This is ridiculous.
477000	479000	We've been next to it all night.
479000	481000	We could have gone and slept there.
481000	483000	I can't wait to go ashore.
483000	486000	All right, everyone, jump to it.
486000	488000	Man the old.
491000	493000	There's something strange going on here.
493000	495000	What is it, Snuffkin?
495000	496000	I'm not sure.
496000	497000	Moomin Papa.
497000	499000	Our boat didn't move at all last night, did it?
499000	502000	No, it doesn't seem to have moved at all.
502000	504000	So why couldn't we see the light from the lighthouse,
504000	506000	even when the fog cleared?
506000	508000	I can't work it out.
508000	511000	Yes, you're right, Snuffkin, it seems very odd.
511000	513000	We should have seen it.
513000	516000	Well, perhaps the lighthouse keeper forgot to put it on, Moomin Papa.
516000	518000	I don't think so, little Mai.
518000	520000	You can't forget a thing like that.
520000	523000	I suppose it could be broken.
523000	525000	There could be lots of reasons for it.
525000	527000	Why don't we hurry up and get ashore,
527000	530000	and then we can ask the keeper.
533000	536000	Look, there's someone in a boat.
536000	537000	Hmm.
537000	540000	It looks like he's fishing.
540000	542000	He know about the lighthouse.
542000	544000	He probably lives on the island.
544000	546000	Let's get closer.
546000	548000	Easy now.
549000	558000	Now, hoi there, good morning.
558000	561000	Any luck?
561000	566000	Not yet, but it's still early.
566000	569000	Hmm, yes, quite.
569000	571000	I'll ask him straight out.
571000	574000	Do you know if the lighthouse was working last night?
574000	576000	I don't know.
577000	580000	Sorry, I didn't catch that.
581000	583000	He said, no, it wasn't.
583000	584000	What did I tell you?
584000	586000	He forgot to light it.
586000	588000	Oh, it wasn't only last night.
588000	590000	You'll never see a light in that lighthouse.
590000	592000	Not even on stormy nights.
592000	593000	We'll never.
593000	595000	So what does the keeper do then?
595000	596000	Nothing.
596000	598000	There is an lighthouse keeper.
598000	600000	Why?
600000	601000	I'm sorry.
601000	602000	I'm afraid I don't know.
602000	605000	All I can say is I haven't seen one.
605000	607000	Do you live on the island?
607000	609000	Hey, mister.
609000	611000	You're asking too many questions.
611000	613000	Who are you?
613000	617000	I'm Moment Papa from Moment Valley, and this is my family.
617000	620000	We've come a long way in order to do some important work here.
620000	622000	No work on this island.
622000	624000	No, you better go back home.
624000	629000	You see, I've come here to research an epic novel about the sea.
629000	631000	Just turn around and go back.
631000	633000	You're too far from home.
633000	635000	Oh, please, wait.
635000	636000	Shh.
636000	637000	Dear, don't shout.
637000	639000	We mustn't scare the fish away.
639000	641000	Let's go a show and have some breakfast.
641000	643000	I expect we're all hungry.
651000	653000	Bunny, pair.
653000	655000	The old ones lost his marbles.
663000	665000	The old ones lost his marbles.
665000	667000	The old ones lost his marbles.
667000	669000	The old ones lost his marbles.
669000	671000	The old ones lost his marbles.
671000	673000	The old ones lost his marbles.
673000	675000	The old ones lost his marbles.
675000	679000	Look, Moment Papa. There's a path here leading to the lighthouse.
679000	683000	We'll leave this stuff here and we'll go and explore it first.
683000	685000	Right, to the lighthouse, everyone.
685000	687000	Up, bow.
687000	689000	Come on!
689000	691000	What's wrong?
691000	695000	Why do you always get so upset when somebody mentions the lighthouse?
695000	697000	It's not your call, sir.
697000	699000	Business boy doesn't concern you at all.
699000	701000	You were like that when I asked you about it before.
701000	705000	Maybe if you were to tell me, I might be able to understand.
705000	707000	I could try anyway.
707000	709000	Either talk about something else or keep quiet.
709000	711000	You understand that?
721000	725000	It's so very rocky, I don't think it would work.
725000	729000	What? A garden.
739000	741000	Hello there!
741000	743000	Is there anybody at home?
743000	745000	There's nobody here.
745000	749000	That boy was right. It's been empty for ages, I think.
751000	757000	Oh, the door was left unlocked. I know we do it, but most people don't.
757000	759000	Something terrible's happened.
759000	763000	Something terrible! Please, little my, you know I had things like that.
763000	765000	Don't worry, snort maiden.
765000	767000	Little my, it's just trying to scare you.
767000	769000	I don't like hearing about anything horrible.
769000	773000	Flag your ears then, snort maiden, because I haven't finished yet.
773000	775000	And the next bit's really horrible.
775000	777000	Oh, well, where have you been finished there?
777000	781000	Well, the lighthouse keeper is still up there.
781000	783000	He got scurvy and hats and been able to move for months.
783000	785000	And nobody's heard his cries for help.
785000	787000	And with no food, he's almost a skeleton.
787000	793000	If he isn't dead already, he'll be at the top of the stairs, crawling towards his fingers,
793000	795000	lading and ripped up ribbons and flowers, mouth.
795000	797000	God, it's endless, mouth.
797000	799000	Shut up, little my.
799000	801000	That's enough.
801000	803000	It was a good imagination though.
803000	805000	I'll let you use it in your book, if you like.
805000	807000	Come on, tell me what did she say, Moonman?
807000	809000	Oh, nothing, really. Nothing at all.
809000	813000	Tell me, Moonman, but leave out the bits I wouldn't like.
813000	817000	Where are you going, Papa?
817000	819000	Well, listen, everyone.
819000	821000	First, I'm going to get the lamp working.
821000	825000	Then we'll give the place a good clean and then we'll move in.
825000	827000	We'll be the new lighthouse keepers.
827000	833000	And once again, the seas around this island will be safe for ships to navigate in troubled water.
833000	835000	Come on, Papa!
835000	837000	Careful, careful.
837000	839000	Touch anything, that's dangerous.
845000	847000	Oh!
855000	857000	Will Moonman Papa be able to get the light working again?
857000	859000	Where is the lighthouse keeper?
859000	861000	And what could have made him go without locking the door,
861000	867000	leaving the ships in peril and the seas with no one to guide them away from the rocks?
869000	873000	And who is the mysterious fisherman?
875000	881000	They love the laughter and they love the living, the moments.
881000	889000	Believing in sharing and caring and giving the movements.
889000	893000	They're always happy and always at play.
893000	897000	The movements are having fun day after day.
897000	901000	The movements.
901000	905000	The movements.
905000	909000	They love the laughter and they love the living, the movements.
911000	919000	Believing in sharing and caring and giving the movements.
919000	923000	They're always happy and always at play.
923000	927000	The movements are having fun day after day.
927000	931000	The movements.
931000	935000	The movements.
935000	939000	The movements.
959000	961000	Here they are for one and all.
961000	963000	The movements are about to come.
963000	967000	Come on and sit down here with me.
967000	969000	They're here for you on your TV.
969000	971000	They are the movements.
971000	975000	They are the movements.
975000	977000	So come with me.
977000	979000	Give me your hand.
979000	981000	I'll take you up to a moment land.
981000	985000	You can fly just like a bird.
985000	987000	Sing that song ever.
987000	989000	There were the movements.
989000	991000	There were the movements.
991000	995000	There were the movements.
995000	999000	There were the movements.
999000	1001000	There were the movements.
1001000	1005000	There were the movements.
1021000	1046840	The movements came to this island to visit a real lighthouse, but when they got there,
1046840	1054840	I found it was completely deserted, no light, and no lighthouse keeper.
1054840	1063840	Woman Papa is going to try and mend the lamp, and the others are all helping to clean up.
1063840	1066840	This is it, then. Do you think it's broken, Papa?
1066840	1075840	Well, I'm not sure. I've not had a great deal of experience with this sort of thing.
1075840	1080840	Look over there, woman. It's the boy and the fisherman from the boat.
1080840	1082840	They're a bit strange, aren't they?
1082840	1085840	They must live somewhere here on the island.
1085840	1090840	Hmm, let's see. Let's see.
1090840	1094840	Oh, my God.
1095840	1108840	Oh, thank you. Leave it by the door when you haven't quite finished yet.
1108840	1111840	Well, at least we can see the floor now.
1111840	1115840	I think the keeper must be lying dead under the dust.
1115840	1118840	Nobody's cleaned here for a long time, that's for sure.
1118840	1122840	That probably means the lighthouse lamp hasn't been working for ages either.
1123840	1126840	I wonder if Papa will be able to fix it.
1126840	1132840	I wonder if they're going to manage to get the light working all right.
1132840	1140840	Well, the lighthouse without a lamp is pretty sad, isn't it?
1140840	1142840	Come on, light, will you?
1142840	1148840	Right, I'll give you one last chance.
1148840	1153840	Then I'm getting the big spanner. Now, you don't know me, but I don't give in easily, especially to machines.
1153840	1162840	Have you thought, brass brain, what will happen tonight if there's a storm and there's a ship out there looking for land or trying to keep off the rocks and there's no light to guide them?
1162840	1164840	You'll be sorry, Dan, but it'll be too late.
1164840	1168840	And all I can say is that if the light hasn't been working for some time,
1168840	1171840	then I'm afraid that there could have been many shipwrecks.
1171840	1173840	Oh, that's awful.
1173840	1177840	It would be dangerous to come too close to the island without a light to help you.
1177840	1181840	I wouldn't be surprised if that ghost ship went one of them.
1181840	1187840	It all seems very strange, and I wonder what made the lighthouse keeper leave in such a hurry.
1187840	1190840	Unspeakable horror, please be quiet, little my.
1190840	1191840	It's obvious.
1191840	1195840	Close thrown above dishes left unwashed, jigsaw puzzles have finished.
1195840	1199840	It's an unsolved mystery of the sea, just like the Marie Celeste.
1199840	1203840	And if you don't understand that, then you're being even stupider.
1203840	1205840	Then usual.
1205840	1208840	Oh dear poor man, I wonder what he was like.
1208840	1212840	He must have been very lonely here on his own.
1212840	1216840	He scribbled messages over the walls like no side of a ship.
1216840	1218840	It's Christmas, another month gone.
1218840	1224840	I must clean the lamp, and I need to talk to someone.
1224840	1229840	Oh, well, if he didn't see many ships, at least they could have been many shipwrecks either.
1229840	1231840	Oh, I hope not Papa.
1231840	1233840	That would be one good thing anyway.
1233840	1238840	Perhaps the sea came and took him on a dark and stormy night, and he was swept out, and no one saw him go.
1238840	1240840	That's rubbish, little my.
