Index,Start,End,Text
1,"00:00:00,000","00:00:21,000","Here they are for one and all, the movements are about to come, come on and sit down here with me."
2,"00:00:21,000","00:00:29,000","Here for you are your TV, they are the movements, they are the movements."
3,"00:00:29,000","00:00:35,000","So come with me, give me your hand, I'll take you up to a moment land."
4,"00:00:35,000","00:00:46,000","You can fly just like a bird, sing that song ever, there were the movements, there were the movements,"
5,"00:00:46,000","00:00:58,000","there were the movements, there were the movements, there were the movements, there were the movements."
6,"00:01:16,000","00:01:31,220","Ha, ha, ha, ha, ha, ha, ha, ha, ha, ha, ha, ha."
7,"00:01:37,560","00:01:40,880",Have you ever heard of Moombin valley?
8,"00:01:40,880","00:01:50,480","In winter, deep white snow covers the whole valley, and everyone goes to sleep so that they"
9,"00:01:50,480","00:01:52,480",keep warm.
10,"00:01:52,480","00:02:03,760","Look, there's a woman house."
11,"00:02:03,760","00:02:11,640","This woman, our hero,"
12,"00:02:11,640","00:02:20,920","and Papa, and Mum and Mama."
13,"00:02:20,920","00:02:34,440",And this little bundle must be little my.
14,"00:02:34,440","00:02:56,160","I think before our story starts, we'd better wake everyone up with some spring sunshine."
15,"00:02:56,160","00:03:16,160","At last, it's spring."
16,"00:03:16,160","00:03:24,160","Wake up everyone, it's spring time."
17,"00:03:24,160","00:03:44,480",I can't help it if I'm happy.
18,"00:03:44,480","00:03:46,280","So yeah, woke me."
19,"00:03:46,280","00:03:51,000","I was having a lovely dream about living in a watermelon, but it's beautiful outside."
20,"00:03:51,000","00:03:54,000","Oh gee, isn't it, is it really moving?"
21,"00:03:54,000","00:04:01,360","Yes, it's all fresh, the flowers are out and the sun is shining, so I like being asleep."
22,"00:04:01,360","00:04:05,360","But it's spring, you said you wanted me to wake you as soon as spring was here."
23,"00:04:05,360","00:04:06,960","Oh boy, did I?"
24,"00:04:06,960","00:04:09,160","Yes, you did little my."
25,"00:04:09,160","00:04:12,640",You said you wanted to be a welcome as soon as spring was here.
26,"00:04:12,640","00:04:13,640",Really?
27,"00:04:13,640","00:04:14,640","Yes, you did."
28,"00:04:14,640","00:04:18,000",Did I say something like that?
29,"00:04:18,000","00:04:20,000",You can go back to bed if you want to.
30,"00:04:20,000","00:04:22,320","Nobody's making you get up, little my."
31,"00:04:22,320","00:04:26,000","No, there's really no point, Mum, and I'm not sleepy anymore."
32,"00:04:26,000","00:04:30,000","Well, there you are then."
33,"00:04:30,000","00:04:31,000",Mama!
34,"00:04:31,000","00:04:33,000","Good spring, Mum."
35,"00:04:33,000","00:04:35,840","Mum, and Mama, I'm starving."
36,"00:04:35,840","00:04:37,560","Have you got any water, Mellon?"
37,"00:04:37,560","00:04:40,560","No, but there's lots of other things."
38,"00:04:40,560","00:04:47,560","You'll all have a nice, big breakfast."
39,"00:04:47,560","00:04:54,560",I can hear a snuff gun.
40,"00:05:04,560","00:05:09,560",Wouldn't it be quicker to use the stairs?
41,"00:05:09,560","00:05:11,560",More fun this way.
42,"00:05:11,560","00:05:13,560",Are you going home now?
43,"00:05:13,560","00:05:18,560","Yes, thanks very much for letting me spend the winter here."
44,"00:05:18,560","00:05:20,560","Don't think your sister will be back yet, though."
45,"00:05:20,560","00:05:22,560",I'll go anyway.
46,"00:05:28,560","00:05:31,560",Snuff gun!
47,"00:05:31,560","00:05:33,560","Oh, hello, Mum."
48,"00:05:33,560","00:05:35,560","It's really good to see you, Snuffkin."
49,"00:05:35,560","00:05:37,560",And you too.
50,"00:05:37,560","00:05:39,560","Jack Arley, weren't you having a good time?"
51,"00:05:39,560","00:05:41,560","Yes, I was."
52,"00:05:41,560","00:05:44,560",But I didn't want to miss springtime in Mum and Valley.
53,"00:05:44,560","00:05:46,560",What did you do?
54,"00:05:46,560","00:05:48,560",I'll tell you later.
55,"00:05:48,560","00:05:52,560","Let's go wake up, Snuff, and think of something exciting to do."
56,"00:05:52,560","00:05:54,560",I don't think he'll like it.
57,"00:06:03,560","00:06:06,560","He's still snoring, Mum, and I'll do it again."
58,"00:06:08,560","00:06:12,560","Well, that's done it."
59,"00:06:14,560","00:06:18,560","Come on, Snuff, it's spring. Snuffkin's here."
60,"00:06:18,560","00:06:20,560","Please go away, you two."
61,"00:06:20,560","00:06:23,560",We're going to do something really exciting.
62,"00:06:23,560","00:06:25,560","Like what, Momen?"
63,"00:06:25,560","00:06:28,560",I can think of more exciting things to do than this.
64,"00:06:28,560","00:06:32,560","Well, let's imagine that we're the first ever to climb this mountain."
65,"00:06:32,560","00:06:34,560",It's such a clear day.
66,"00:06:34,560","00:06:36,560",We'll be able to see all of Mum and Valley
67,"00:06:36,560","00:06:38,560",when we get to the top and the sea.
68,"00:06:43,560","00:06:45,560","Good morning, Mr. Emulant."
69,"00:06:45,560","00:06:48,560","Morning, Mum, and are your father and mother up?"
70,"00:06:48,560","00:06:49,560",Yes.
71,"00:06:49,560","00:06:51,560",Mum was when I came out.
72,"00:06:52,560","00:06:53,560",Good.
73,"00:06:53,560","00:06:56,560",I'll never understand how you can sleep for months on end.
74,"00:06:56,560","00:06:57,560",We like it.
75,"00:07:05,560","00:07:09,560",Why do they always have to do something exciting?
76,"00:07:13,560","00:07:15,560",What a gorgeous view.
77,"00:07:15,560","00:07:17,560",It really is.
78,"00:07:17,560","00:07:21,560","Hey, look, they're small coming from Mum and House."
79,"00:07:21,560","00:07:23,560",We should have stayed at home.
80,"00:07:23,560","00:07:26,560",My bet Mum and Mama's cooking something good.
81,"00:07:26,560","00:07:27,560",Look.
82,"00:07:27,560","00:07:28,560",What is it?
83,"00:07:28,560","00:07:30,560",We're not the first here after all.
84,"00:07:30,560","00:07:32,560",Look over there.
85,"00:07:34,560","00:07:35,560",Top hat.
86,"00:07:39,560","00:07:41,560","Hmm, a rather large one."
87,"00:07:41,560","00:07:43,560",I wonder who's how it is.
88,"00:07:46,560","00:07:49,560","I don't know, but I know Papa would like it."
89,"00:07:54,560","00:07:57,560","Hmm, it's much too big."
90,"00:08:01,560","00:08:03,560","Oh dear, what's it?"
91,"00:08:04,560","00:08:06,560",It really gets inside.
92,"00:08:08,560","00:08:09,560",You see?
93,"00:08:09,560","00:08:11,560",I've never put my horn on.
94,"00:08:16,560","00:08:18,560","Oh, I can't movement it."
95,"00:08:18,560","00:08:19,560","Stop, Mum."
96,"00:08:24,560","00:08:26,560","Oh, that's enough nonsense."
97,"00:08:26,560","00:08:28,560",I think I'll take it off now.
98,"00:08:30,560","00:08:32,560",What's the matter?
99,"00:08:32,560","00:08:35,560","I can't move it. It's stuck, Mum."
100,"00:08:38,560","00:08:39,560",I'll give you a hand.
101,"00:08:39,560","00:08:41,560","Paul, it's harder."
102,"00:08:46,560","00:08:48,560","Oh, that's better."
103,"00:08:48,560","00:08:49,560",Thank you.
104,"00:08:49,560","00:08:50,560",What's all this noise?
105,"00:08:50,560","00:08:53,560","Papa's head got stuck in the hat, Mum."
106,"00:08:53,560","00:08:55,560","Oh, yes, and where did that come from?"
107,"00:08:55,560","00:08:56,560","Oh, Mum and Mama."
108,"00:08:56,560","00:09:00,560",The children found it when they were out and brought it back for me.
109,"00:09:00,560","00:09:01,560",Very smart.
110,"00:09:03,560","00:09:05,560","What shall we do with it, Papa?"
111,"00:09:05,560","00:09:07,560",There is something strange about it.
112,"00:09:07,560","00:09:09,560",Shall I throw it away then?
113,"00:09:09,560","00:09:12,560","Oh, no, it's too good for that."
114,"00:09:12,560","00:09:14,560",Do we know anyone with a very big hand?
115,"00:09:14,560","00:09:16,560","No, Mum and Papa."
116,"00:09:17,560","00:09:19,560",I know what we can do with it.
117,"00:09:19,560","00:09:23,560","Ah, it's a..."
118,"00:09:23,560","00:09:25,560","A waste paper basket, Mum and Mama."
119,"00:09:25,560","00:09:27,560","That's right. Well done, Snuffkin."
120,"00:09:27,560","00:09:29,560",That was easy.
121,"00:09:29,560","00:09:33,560","Come on, Snuffkin. Come and have some breakfast with us."
122,"00:09:47,560","00:09:49,560",Beautiful.
123,"00:10:00,560","00:10:02,560",Yes.
124,"00:10:02,560","00:10:05,560","Sorry to disturb you, but I'm going to see Mumin."
125,"00:10:05,560","00:10:06,560",Uh-huh.
126,"00:10:06,560","00:10:08,560","Do you want to come with me, Snork?"
127,"00:10:08,560","00:10:09,560",Uh-huh.
128,"00:10:09,560","00:10:11,560",Or would you rather stay here?
129,"00:10:11,560","00:10:12,560",Uh-huh.
130,"00:10:12,560","00:10:14,560","Well, are you coming or not?"
131,"00:10:14,560","00:10:15,560",Uh-huh.
132,"00:10:15,560","00:10:16,560","Not coming, man?"
133,"00:10:16,560","00:10:17,560",Uh-huh.
134,"00:10:17,560","00:10:18,560",Snork?
135,"00:10:18,560","00:10:22,560","Well,~] you know my flying ship is almost finished."
136,"00:10:23,560","00:10:25,560","It'll be ready this year, you'll see."
137,"00:10:25,560","00:10:27,560",This is in his starlet moment.
138,"00:10:31,560","00:10:35,560","Oh, dear. Perhaps it needs a little more work."
139,"00:10:39,560","00:10:42,560",I wonder if you really can make a flying ship.
140,"00:10:42,560","00:10:45,560","Don't be silly, of course you can't."
141,"00:10:45,560","00:10:47,560",A little bit more.
142,"00:10:47,560","00:10:50,560",I wonder if you really can make a flying ship.
143,"00:10:50,560","00:10:52,560","Silly, of course you can't."
144,"00:10:52,560","00:10:55,560","A little, my Snorks always dreamed about doing it."
145,"00:10:55,560","00:10:57,560",Dreams are all right.
146,"00:10:57,560","00:11:00,560","Yes, as long as they're not impossible."
147,"00:11:00,560","00:11:02,560",I suppose so.
148,"00:11:07,560","00:11:10,560","Snuff, you're not still feeding your face, are you?"
149,"00:11:10,560","00:11:12,560","Do you ever dream, Snuff?"
150,"00:11:12,560","00:11:16,560","Only nightmares about having no food at all, little, my."
151,"00:11:21,560","00:11:25,560","Hmm, I wonder who dropped this."
152,"00:11:25,560","00:11:28,560",Now where can I put it?
153,"00:11:28,560","00:11:31,560","Oh, there you are."
154,"00:11:31,560","00:11:33,560",Just the thing.
155,"00:11:51,560","00:11:53,560",Oh.
156,"00:12:05,560","00:12:06,560",Oh.
157,"00:12:06,560","00:12:07,560",Wow.
158,"00:12:07,560","00:12:09,560","Golly, what are they?"
159,"00:12:09,560","00:12:11,560",They're clouds.
160,"00:12:11,560","00:12:14,560","Be careful, don't touch it. It might be poisonous."
161,"00:12:14,560","00:12:16,560",It feels like cotton.
162,"00:12:16,560","00:12:17,560","Well, eee."
163,"00:12:18,560","00:12:21,560","This is great, I'm floating wonderful."
164,"00:12:24,560","00:12:26,560",Can I try?
165,"00:12:26,560","00:12:28,560","Are you ready, Snork Maiden?"
166,"00:12:28,560","00:12:31,560",Here we go.
167,"00:12:41,560","00:12:43,560",What have you got to hide?
168,"00:12:43,560","00:12:45,560",My phone.
169,"00:12:46,560","00:12:48,560",Wait for me.
170,"00:12:48,560","00:12:51,560","Hey, wait for me."
171,"00:12:51,560","00:12:53,560",Whoa.
172,"00:12:53,560","00:12:55,560",Whoa.
173,"00:12:55,560","00:12:57,560","Hey, wait for me."
174,"00:12:57,560","00:12:59,560",Let me get on.
175,"00:12:59,560","00:13:00,560",Ow.
176,"00:13:00,560","00:13:03,560","Ow, I'm falling."
177,"00:13:08,560","00:13:13,560","Mumen Papa is in his study, trying to write his memoirs."
178,"00:13:14,560","00:13:17,560",A lot has happened to him over the years.
179,"00:13:17,560","00:13:19,560",An awful lot.
180,"00:13:19,560","00:13:22,560",And he's trying to remember it.
181,"00:13:28,560","00:13:31,560",What was that?
182,"00:13:31,560","00:13:33,560",Mumen.
183,"00:13:33,560","00:13:34,560","Hi, Papa."
184,"00:13:34,560","00:13:36,560",What are you doing out there?
185,"00:13:36,560","00:13:37,560",We're flying.
186,"00:13:37,560","00:13:40,560",The clouds just came out of the house.
187,"00:13:40,560","00:13:43,560","Yeah, try and get nearest so I can reach you."
188,"00:13:43,560","00:13:45,560",Oh.
189,"00:13:45,560","00:13:46,560","No, I'm alright."
190,"00:13:46,560","00:13:47,560",Why don't you come for a ride?
191,"00:13:47,560","00:13:49,560","Stop, wait a minute."
192,"00:13:49,560","00:13:50,560",It's great.
193,"00:13:50,560","00:13:52,560",You feel like a bird.
194,"00:13:52,560","00:13:53,560",Mumen.
195,"00:13:53,560","00:13:54,560",Oh.
196,"00:13:54,560","00:13:56,560","Come on, Papa. Jump or you'll fall."
197,"00:13:56,560","00:13:58,560",I think it's too late.
198,"00:13:58,560","00:13:59,560",Oh.
199,"00:14:05,560","00:14:06,560",Mumen Mama quickly.
200,"00:14:06,560","00:14:07,560",What's the matter?
201,"00:14:07,560","00:14:09,560",Have you seen what the children are doing?
202,"00:14:10,560","00:14:11,560",Yes.
203,"00:14:11,560","00:14:12,560",Look at them.
204,"00:14:12,560","00:14:14,560",They're flying about on clouds.
205,"00:14:14,560","00:14:15,560",It can't be safe.
206,"00:14:15,560","00:14:17,560","Don't worry, Papa."
207,"00:14:17,560","00:14:18,560",It's alright.
208,"00:14:18,560","00:14:20,560",I told them to be careful.
209,"00:14:22,560","00:14:24,560","Come on, Snapping."
210,"00:14:26,560","00:14:27,560",Damn.
211,"00:14:28,560","00:14:30,560","I won, I won."
212,"00:14:31,560","00:14:32,560",Whoa.
213,"00:14:32,560","00:14:34,560","Hey, wait a little cloud."
214,"00:14:34,560","00:14:35,560",Wait for me.
215,"00:14:35,560","00:14:36,560",Don't go away.
216,"00:14:36,560","00:14:37,560",Oh.
217,"00:14:37,560","00:14:38,560",I got you.
218,"00:14:38,560","00:14:39,560",That was three times.
219,"00:14:39,560","00:14:41,560",And I'm going to climb right up here.
220,"00:14:41,560","00:14:42,560",And I'm going to get you right there.
221,"00:14:42,560","00:14:43,560",This branch.
222,"00:14:43,560","00:14:44,560",Come on.
223,"00:14:44,560","00:14:45,560","Come on, little cloud."
224,"00:14:45,560","00:14:46,560",I'm going to take you with me.
225,"00:14:46,560","00:14:47,560","Hey, come on."
226,"00:14:47,560","00:14:48,560",You just keep coming back.
227,"00:14:48,560","00:14:49,560",Yeah.
228,"00:14:49,560","00:14:50,560",Yeah.
