start	end	text
0	21000	here they are for one and all the moments are about to come on and sit down here with
21000	30840	me here for you on your TV they are the moments they are the moments so come
30840	37680	with me give me your hand I'll take you up to a moment land you can fly just
37680	45040	like a bird sing that song ever there were the moments there were the
45040	58880	moments there were the moments there was the moments
58880	88880	Ba da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da
88880	118880	Ba da da da da ba ba da da da ba da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da da
118880	120880	Mama! Mama!
120880	122880	Are they ready?
122880	123880	Are what ready?
123880	124880	The pancakes!
124880	125880	Not yet.
125880	127880	This hobgoblin wood doesn't seem to burn very well.
127880	129880	Aren't they cooking?
129880	130880	They won't be long.
130880	131880	Have some lemonade while you're waiting.
131880	132880	Mama!
132880	134880	Are the pancakes ready yet?
134880	135880	Oh well.
135880	137880	Everything seems normal in the movement house.
137880	138880	Oh!
140880	141880	I'm a dumbo.
141880	143880	I'm a no-good, mean, good-boot, Ninny.
143880	145880	No, you're not, Snork.
145880	146880	You're very clever.
146880	150880	I'm a failure of flop of frightful fraud and a misfit.
150880	152880	But your landship was a success?
152880	154880	Wasn't it?
154880	155880	Kid stuff!
155880	158880	Look, if you can make a ship that runs on land,
158880	160880	then I'm sure you can make one that flies.
160880	162880	I believe in you.
162880	166880	Fatal out of good, that does me snort and maiden.
166880	169880	You know, last night, I thought,
169880	173880	I've done it, a flagship, then I looked at it again.
174880	175880	No good, no good.
175880	176880	It was all wrong.
176880	178880	Wouldn't, couldn't fly at all.
178880	182880	Oh, how can someone so intelligent be such an idiot?
